,composer,work,theatre,city,date
127,Emmerich (Irme) Kálmán,"Die Csardasfurstin, 'The Gypsy Princess' ","Opera Theatre, Sydney Opera House",Sydney,2001-02-13
128,Wolfgang Amadeus Mozart,The Marriage of Figaro K492,New Theatre,Cardiff,2001-02-14
129,Giuseppe Verdi,La Traviata ,"Opera Theatre, Sydney Opera House",Sydney,2001-02-14
130,Emmerich (Irme) Kálmán,"Die Csardasfurstin, 'The Gypsy Princess' ","Opera Theatre, Sydney Opera House",Sydney,2001-02-15
131,Wolfgang Amadeus Mozart,Così fan tutte K588,"Opera Theatre, Sydney Opera House",Sydney,2001-02-16
132,Wolfgang Amadeus Mozart,The Marriage of Figaro K492,New Theatre,Cardiff,2001-02-17
133,Richard Wagner,Tristan und Isolde ,Newcastle City Hall,Newcastle upon Tyne,2001-02-17
134,Emmerich (Irme) Kálmán,"Die Csardasfurstin, 'The Gypsy Princess' ","Opera Theatre, Sydney Opera House",Sydney,2001-02-17
135,Giuseppe Verdi,La Traviata ,"Opera Theatre, Sydney Opera House",Sydney,2001-02-17
136,Ruggiero Leoncavallo,Cavalleria Rusticana ,The Anvil,Basingstoke,2001-02-18
137,Giuseppe Verdi,La Traviata ,New Theatre,Cardiff,2001-02-19
138,Giuseppe Verdi,Rigoletto ,"Opera Theatre, Sydney Opera House",Sydney,2001-02-19
139,Wolfgang Amadeus Mozart,The Marriage of Figaro K492,Symphony Hall,Birmingham,2001-02-20
140,Wolfgang Amadeus Mozart,Così fan tutte K588,"Opera Theatre, Sydney Opera House",Sydney,2001-02-20
141,Emmerich (Irme) Kálmán,"Die Csardasfurstin, 'The Gypsy Princess' ","Opera Theatre, Sydney Opera House",Sydney,2001-02-21
142,Wolfgang Amadeus Mozart,Così fan tutte K588,"Opera Theatre, Sydney Opera House",Sydney,2001-02-22
143,Giuseppe Verdi,Aida ,Royal Albert Hall,London,2001-02-23
144,Emmerich (Irme) Kálmán,"Die Csardasfurstin, 'The Gypsy Princess' ","Opera Theatre, Sydney Opera House",Sydney,2001-02-23
145,Giuseppe Verdi,Aida ,Royal Albert Hall,London,2001-02-24
146,Giuseppe Verdi,Aida ,Royal Albert Hall,London,2001-02-24
147,Giuseppe Verdi,La Traviata ,New Theatre,Cardiff,2001-02-24
148,Richard Wagner,Tristan und Isolde ,The Lowry,Salford Quays,2001-02-24
149,Emmerich (Irme) Kálmán,"Die Csardasfurstin, 'The Gypsy Princess' ","Opera Theatre, Sydney Opera House",Sydney,2001-02-24
150,Giuseppe Verdi,Rigoletto ,"Opera Theatre, Sydney Opera House",Sydney,2001-02-24
151,Giuseppe Verdi,Aida ,Royal Albert Hall,London,2001-02-25
152,Peter Ash,Charlie and the Chocolate Factory ,Preston Guildhall,Preston,2001-02-25
153,Marc-Antoine Charpentier,Dido and Aeneas Z626,Turner Sims,Southampton,2001-02-25
154,Wolfgang Amadeus Mozart,Così fan tutte K588,"Opera Theatre, Sydney Opera House",Sydney,2001-02-26
155,Giuseppe Verdi,Aida ,Royal Albert Hall,London,2001-02-27
156,Giuseppe Verdi,La Traviata ,King George's Hall,Blackburn,2001-02-27
157,Giuseppe Verdi,Rigoletto ,"Opera Theatre, Sydney Opera House",Sydney,2001-02-27
158,Giuseppe Verdi,Aida ,Royal Albert Hall,London,2001-02-28
159,Giuseppe Verdi,La Traviata ,New Theatre,Cardiff,2001-02-28
160,Wolfgang Amadeus Mozart,Così fan tutte K588,"Opera Theatre, Sydney Opera House",Sydney,2001-02-28
161,Giuseppe Verdi,Aida ,Royal Albert Hall,London,2001-03-01
162,Hector Berlioz,Beatrice and Benedict ,New Theatre,Cardiff,2001-03-01
163,Benjamin Britten,Peter Grimes Op 33,Symphony Hall,Birmingham,2001-03-01
164,Emmerich (Irme) Kálmán,"Die Csardasfurstin, 'The Gypsy Princess' ","Opera Theatre, Sydney Opera House",Sydney,2001-03-01
165,Giuseppe Verdi,Aida ,Royal Albert Hall,London,2001-03-02
166,Wolfgang Amadeus Mozart,The Marriage of Figaro K492,New Theatre,Cardiff,2001-03-02
167,Giuseppe Verdi,Aida ,Royal Albert Hall,London,2001-03-03
168,Giuseppe Verdi,Aida ,Royal Albert Hall,London,2001-03-03
169,Hector Berlioz,Beatrice and Benedict ,New Theatre,Cardiff,2001-03-03
170,Richard Wagner,Tristan und Isolde ,Royal Concert Hall,Nottingham,2001-03-03
171,Emmerich (Irme) Kálmán,"Die Csardasfurstin, 'The Gypsy Princess' ","Opera Theatre, Sydney Opera House",Sydney,2001-03-03
172,Giuseppe Verdi,Rigoletto ,"Opera Theatre, Sydney Opera House",Sydney,2001-03-03
173,Giuseppe Verdi,Aida ,Royal Albert Hall,London,2001-03-04
174,Giuseppe Verdi,Aida ,Royal Albert Hall,London,2001-03-04
175,Benjamin Britten,Peter Grimes Op 33,Symphony Hall,Birmingham,2001-03-04
176,Emmerich (Irme) Kálmán,"Die Csardasfurstin, 'The Gypsy Princess' ","Opera Theatre, Sydney Opera House",Sydney,2001-03-05
177,Wolfgang Amadeus Mozart,The Marriage of Figaro K492,The Mayflower,Southampton,2001-03-06
178,Giuseppe Verdi,La Traviata ,The Mayflower,Southampton,2001-03-07
179,Emmerich (Irme) Kálmán,"Die Csardasfurstin, 'The Gypsy Princess' ","Opera Theatre, Sydney Opera House",Sydney,2001-03-07
180,Giuseppe Verdi," 
								Excerpts from 'Nabucco' 
						",Wycombe Swan Theatre,High Wycombe,2001-03-07
181,Hector Berlioz,Beatrice and Benedict ,The Mayflower,Southampton,2001-03-08
182,Wolfgang Amadeus Mozart,The Marriage of Figaro K492,The Mayflower,Southampton,2001-03-09
183,Giuseppe Verdi,La Traviata ,The Mayflower,Southampton,2001-03-10
184,Giuseppe Verdi,La Traviata ,De Montfort Hall,Leicester,2001-03-12
185,Wolfgang Amadeus Mozart,The Marriage of Figaro K492,Swansea Grand Theatre,Swansea,2001-03-13
186,Giuseppe Verdi,La Traviata ,Swansea Grand Theatre,Swansea,2001-03-14
187,Hector Berlioz,Beatrice and Benedict ,Swansea Grand Theatre,Swansea,2001-03-15
188,Wolfgang Amadeus Mozart,The Marriage of Figaro K492,Swansea Grand Theatre,Swansea,2001-03-16
189,Giuseppe Verdi,La Traviata ,Swansea Grand Theatre,Swansea,2001-03-17
190,Wolfgang Amadeus Mozart,The Marriage of Figaro K492,New Theatre,Oxford,2001-03-20
191,Giuseppe Verdi,La Traviata ,New Theatre,Oxford,2001-03-21
192,Matthew Locke,Dido and Aeneas Z626,Wigmore Hall,London,2001-03-21
193,Hector Berlioz,Beatrice and Benedict ,New Theatre,Oxford,2001-03-22
194,Wolfgang Amadeus Mozart,The Marriage of Figaro K492,New Theatre,Oxford,2001-03-23
195,Giuseppe Verdi,La Traviata ,New Theatre,Oxford,2001-03-24
196,(Franz) Joseph Haydn,The Apothecary ,Rosehill Theatre,Whitehaven,2001-03-24
197,Wolfgang Amadeus Mozart,The Marriage of Figaro K492,Bristol Hippodrome,Bristol,2001-03-27
198,Giuseppe Verdi,La Traviata ,Bristol Hippodrome,Bristol,2001-03-28
199,Hector Berlioz,Beatrice and Benedict ,Bristol Hippodrome,Bristol,2001-03-29
200,Wolfgang Amadeus Mozart,The Marriage of Figaro K492,Bristol Hippodrome,Bristol,2001-03-30
201,Giuseppe Verdi,La Traviata ,Bristol Hippodrome,Bristol,2001-03-31
202,Hector Berlioz,Beatrice and Benedict ,Symphony Hall,Birmingham,2001-04-02
203,Hans Werner Henze,Boulevard Solitude ,Royal Opera House Covent Garden,London,2001-04-02
204,Sir Arthur Sullivan,Ruddigore (or The Witch's Curse) ,Royal Theatre,Northampton,2001-04-02
205,Wolfgang Amadeus Mozart,"Die Zauberflöte, 'The Magic Flute' K620",Northcott Theatre,Exeter,2001-04-02
206,Vincenzo Bellini,I Capuleti e i Montecchi ,Royal Opera House Covent Garden,London,2001-04-03
207,Sir Arthur Sullivan,Ruddigore (or The Witch's Curse) ,Royal Theatre,Northampton,2001-04-03
208,Wolfgang Amadeus Mozart,Don Giovanni K 527,Edinburgh Festival Theatre,Edinburgh,2001-04-03
209,Jules Massenet,Manon ,Northcott Theatre,Exeter,2001-04-03
210,Giuseppe Verdi,La Traviata ,Symphony Hall,Birmingham,2001-04-04
211,Hans Werner Henze,Boulevard Solitude ,Royal Opera House Covent Garden,London,2001-04-04
212,Hans Werner Henze,Boulevard Solitude ,Royal Opera House Covent Garden,London,2001-04-04
213,Sir Arthur Sullivan,Ruddigore (or The Witch's Curse) ,Royal Theatre,Northampton,2001-04-04
214,Vincenzo Bellini,I Capuleti e i Montecchi ,Royal Opera House Covent Garden,London,2001-04-05
215,Sir Arthur Sullivan,Ruddigore (or The Witch's Curse) ,Royal Theatre,Northampton,2001-04-05
216,Wolfgang Amadeus Mozart,Don Giovanni K 527,Edinburgh Festival Theatre,Edinburgh,2001-04-05
217,Giacomo Puccini,"Il Tabarro, 'The Cloak' ",The London Coliseum,London,2001-04-05
218,Wolfgang Amadeus Mozart,"Die Zauberflöte, 'The Magic Flute' K620",Northcott Theatre,Exeter,2001-04-05
219,Gioachino Rossini,"Il Barbiere di Siviglia, 'The Barber of Seville' ",The London Coliseum,London,2001-04-06
220,Jules Massenet,Manon ,Northcott Theatre,Exeter,2001-04-06
221,Sir Arthur Sullivan,Ruddigore (or The Witch's Curse) ,Royal Theatre,Northampton,2001-04-07
222,Sir Arthur Sullivan,Ruddigore (or The Witch's Curse) ,Royal Theatre,Northampton,2001-04-07
223,Wolfgang Amadeus Mozart,Don Giovanni K 527,Edinburgh Festival Theatre,Edinburgh,2001-04-07
224,Giacomo Puccini,"Il Tabarro, 'The Cloak' ",The London Coliseum,London,2001-04-07
225,Vincenzo Bellini,I Capuleti e i Montecchi ,Royal Opera House Covent Garden,London,2001-04-09
226,Giuseppe Verdi,Il Trovatore ,The London Coliseum,London,2001-04-09
227,Wolfgang Amadeus Mozart,Don Giovanni K 527,His Majesty's Theatre,Aberdeen,2001-04-10
228,Ruggiero Leoncavallo,Cavalleria Rusticana ,The Marlowe Theatre,Canterbury,2001-04-11
229,Gioachino Rossini,"Il Barbiere di Siviglia, 'The Barber of Seville' ",The London Coliseum,London,2001-04-11
230,Vincenzo Bellini,I Capuleti e i Montecchi ,Royal Opera House Covent Garden,London,2001-04-12
231,Joao de Sousa Carvalho,L'amore industrioso ,St John's Smith Square,London,2001-04-12
232,Giacomo Puccini,"La Bohème, 'Bohemian Life' ",The Marlowe Theatre,Canterbury,2001-04-12
233,Wolfgang Amadeus Mozart,Don Giovanni K 527,His Majesty's Theatre,Aberdeen,2001-04-12
234,Giuseppe Verdi,Il Trovatore ,The London Coliseum,London,2001-04-12
235,Gioachino Rossini,"Il Barbiere di Siviglia, 'The Barber of Seville' ",The London Coliseum,London,2001-04-14
236,Composer Not Known,Composition Not Known ,Purcell Room,London,2001-04-16
237,Vincenzo Bellini,I Capuleti e i Montecchi ,Royal Opera House Covent Garden,London,2001-04-18
238,Leoš  Janácek,Katya Kabanova ,New Theatre,Cardiff,2001-04-19
239,Giuseppe Verdi,Il Trovatore ,The London Coliseum,London,2001-04-19
240,Giuseppe Verdi,Otello ,Royal Opera House Covent Garden,London,2001-04-19
241,Vincenzo Bellini,I Capuleti e i Montecchi ,Royal Opera House Covent Garden,London,2001-04-20
242,Gioachino Rossini,"Il Barbiere di Siviglia, 'The Barber of Seville' ",The London Coliseum,London,2001-04-20
243,Giuseppe Verdi,Il Trovatore ,The London Coliseum,London,2001-04-21
244,Giuseppe Verdi,Otello ,Royal Opera House Covent Garden,London,2001-04-21
245,Leoš  Janácek,Katya Kabanova ,New Theatre,Cardiff,2001-04-24
246,Gioachino Rossini,"Il Barbiere di Siviglia, 'The Barber of Seville' ",The London Coliseum,London,2001-04-24
247,Giuseppe Verdi,Otello ,Royal Opera House Covent Garden,London,2001-04-24
248,Giuseppe Verdi,Il Trovatore ,The London Coliseum,London,2001-04-25
249,Gioachino Rossini,"Il Barbiere di Siviglia, 'The Barber of Seville' ",The London Coliseum,London,2001-04-26
250,Giuseppe Verdi,Otello ,Royal Opera House Covent Garden,London,2001-04-27
251,Giuseppe Verdi,Il Trovatore ,The London Coliseum,London,2001-04-28
252,Giuseppe Verdi," 
								Vesti la giubba from 'I Pagliacci' 
						",The Bridgewater Hall,Manchester,2001-04-29
253,Leoš  Janácek,Katya Kabanova ,New Theatre,Cardiff,2001-04-30
254,W S Gilbert & Sir Arthur Sullivan,Iolanthe (or The Peer and the Peri) ,The Marlowe Theatre,Canterbury,2001-04-30
255,Giacomo Puccini,Composition Not Known ,Preston Guildhall,Preston,2001-05-01
256,Giuseppe Verdi,Otello ,Royal Opera House Covent Garden,London,2001-05-01
257,W S Gilbert & Sir Arthur Sullivan,Iolanthe (or The Peer and the Peri) ,The Marlowe Theatre,Canterbury,2001-05-01
258,Giuseppe Verdi,Il Trovatore ,The London Coliseum,London,2001-05-02
259,W S Gilbert & Sir Arthur Sullivan,Iolanthe (or The Peer and the Peri) ,The Marlowe Theatre,Canterbury,2001-05-02
260,W S Gilbert & Sir Arthur Sullivan,Iolanthe (or The Peer and the Peri) ,The Marlowe Theatre,Canterbury,2001-05-02
261,Giuseppe Verdi,Otello ,Royal Opera House Covent Garden,London,2001-05-03
262,Wolfgang Amadeus Mozart,"Die Zauberflöte, 'The Magic Flute' K620",Octagon Theatre,Yeovil,2001-05-03
263,Sir Arthur Sullivan,The Yeomen of the Guard (or The Merryman and his Maid) ,The Marlowe Theatre,Canterbury,2001-05-03
264,Jules Massenet,Manon ,Octagon Theatre,Yeovil,2001-05-04
265,Sir Arthur Sullivan,The Yeomen of the Guard (or The Merryman and his Maid) ,The Marlowe Theatre,Canterbury,2001-05-04
266,Giuseppe Verdi,Il Trovatore ,The London Coliseum,London,2001-05-05
267,Wolfgang Amadeus Mozart,"Die Zauberflöte, 'The Magic Flute' K620",Octagon Theatre,Yeovil,2001-05-05
268,Sir Arthur Sullivan,The Yeomen of the Guard (or The Merryman and his Maid) ,The Marlowe Theatre,Canterbury,2001-05-05
269,Sir Arthur Sullivan,The Yeomen of the Guard (or The Merryman and his Maid) ,The Marlowe Theatre,Canterbury,2001-05-05
270,Giuseppe Verdi," 
								Excerpts from 'Norma' 
						",Winter Gardens,Bournemouth,2001-05-06
271,Giuseppe Verdi,Il Trovatore ,The London Coliseum,London,2001-05-08
272,Giacomo Puccini,Tosca ,Wycombe Swan Theatre,High Wycombe,2001-05-08
273,Ruggiero Leoncavallo,La Boheme ,Wycombe Swan Theatre,High Wycombe,2001-05-09
274,Ruggiero Leoncavallo,La Boheme ,Wycombe Swan Theatre,High Wycombe,2001-05-10
275,Giuseppe Verdi,Il Trovatore ,The London Coliseum,London,2001-05-11
