,title,url,work,venue,city,rating,date,author,full_text
511,Alice’s Adventures in Wonderland review at The Yucca Lawn Holland Park London,https://www.thestage.co.uk/reviews/2013/alice-s-adventures-in-wonderland-review-at-the-yucca-lawn-holland-park-london/,Alice’s Adventures in Wonderland,The Yucca Lawn Holland Park London,Alice’s Adventures in Wonderland review at The Yucca Lawn Holland Park London,,2013-07-22,George Hall,"After three seasons of Tobias Picker’s Fantastic Mr Fox, Opera Holland Park rings the changes for its family opera this year, simultaneously commissioning the company’s first-ever entirely new work. To a libretto by Maggie Gottlieb, Will Todd’s Alice opera is loosely based on Lewis Carroll’s hardy perennial of children’s literature rather than being a straightforward transfer of book into opera; but enough of the iconic characters and events are here for audience members to get a handle on what is happening.They do so out of doors in this alfresco staging on the Yucca Lawn behind the theatre in the park where the main stage opera programme plays. Each scene in Leslie Travers’ easy-on-the-eye designs is set up in a different corner, with the audience moving around in between, shepherded on their way by members of the cast. The result is easy to follow in both senses.In Gottlieb’s version, Alice is a contemporary girl from Grimthorpe whose eventful adventures begin and end in a pet shop where she has a strange conversation with the White Rabbit. Then her dream (or is it a dream?) begins, and Carroll’s creations pop up and sing before us. Famous episodes such as the Mad Hatter’s Tea Party and meetings with the Caterpillar, Humpty Dumpty and both Tweedle Dum and Tweedle Dee all evoke familiar territory. The show climaxes in a reappearance of Robert Burt’s properly terrifying Red Queen, whose Off With Their Heads! number provides one of several moments that arouse spontaneous applause. Martin Duncan’s simple staging is admirably clear, and a surprisingly high ratio of the text comes over from a cast that is obviously determined to be audible.Todd’s music will present no problems to audiences of whatever level of sophistication. Perhaps best known for his anthem The Call of Wisdom, which was sung at the Queen’s jubilee service in St Paul’s Cathedral last year, 43-year-old Todd is a versatile composer whose stage works in various genres always possess immediacy and dramatic grasp. Although this particular work spends more of its musical time in the area of Shaftesbury Avenue than it does in Covent Garden, the resulting all-sung blend of jazzy rhythms, musical and even vaudeville makes light work of Carroll and his creations. Stuart Stratford conducts an ensemble of 11 players, who move around the open air venue just like the other performers and the audience.Opera Holland Park has gone for a high-quality cast, several of them regulars at this venue in full-scale operatic productions. Both charming and knowing as Alice, Fflur Wyn leads the team appealingly and skilfully. Burt steals his scenes as an alarming Red Queen but without actually scaring the kids away. James Cleverton is the benign White Rabbit, Keel Watson the vocally and physically grand Caterpillar and John Lofthouse a touchingly lugubrious White Knight, while Clare Hendrick and Elaine Tate make an unusually noticeable pair as Tweedles Dum and Dee respectively.
The Yucca Lawn, Holland Park, London, July 20-August 3"
512,Don Pasquale review at Glyndebourne Lewes,https://www.thestage.co.uk/reviews/2013/don-pasquale-review-at-glyndebourne-lewes/,Don Pasquale,Glyndebourne Lewes,Don Pasquale review at Glyndebourne Lewes,,2013-07-19,George Hall,"Premiered by Glyndebourne on tour in 2011, Mariame Clement’s alluring staging of Donizetti’s comedy arrives at the festival proper. The French director’s take on the piece is nothing if not unusual, despite many traditional elements. The costumes are period, though of an even earlier time than that of the work’s Parisian premiere (1843), when it was played in contemporary dress – thus offering a perhaps unique instance of a director pushing the period not forwards, but back.Julia Hansen’s delightful designs frequently feature a revolve, allowing us to witness the different characters in different rooms – or even houses – at more or less the same moment. The results are witty and informative, and the sudden appearance on one turn of the wheel of the entire Glyndebourne Chorus in full 18th century costume is a genuine coup de theatre. Clement’s idea that Malatesta and Norina are actually engaged in some sort of affair is perhaps just plain wrong, but it is so cleverly sketched in that its extra layer of intrigue fascinates.The cast is of vintage quality. Danielle de Niese offers effortless command of the stage and high-flying vocalism as a tricksy Norina. Enea Scala’s Ernesto combines vital tenor singing with a lazy charm as Pasquale’s wayward nephew. The distinguished Italian buffo specialist Alessandro Corbelli is quite simply the most human protagonist one will ever see or hear – sad and funny simultaneously. More mystifying in his motivation than usual, the manipulative Malatesta comes over as darkly elegant in Nikolay Borchev’s sinister interpretation. Conductor Enrique Mazzola bounces the score along. The overall result is Glyndebourne at its best.
Glyndebourne, Lewes, July 18-August 24"
513,L’Elisir d’Amore review at Holland Park Theatre London,https://www.thestage.co.uk/reviews/2013/l-elisir-d-amore-review-at-holland-park-theatre-london/,L’Elisir d’Amore,Holland Park Theatre London,L’Elisir d’Amore review at Holland Park Theatre London,,2013-07-17,Edward Bhesania,"Donizetti has been one of the Italian staples of Opera Holland Park, but not since 2005 has his sparkling comedy L’Elisir d’Amore (The Elixir of Love) appeared there. Pia Furtado’s new production sets the action in an industrial greenhouse on a large-scale sunflower farm. The owner Adina’s image looms from a pair of delivery vans either side of the stage. In the 30-degree heat and under the canopy of Holland Park Theatre, it’s almost as if the auditorium becomes one with the stage.The potion-peddling quack, Dr Dulcama, has a presence from the start, furtively siphoning off whatever stray liquids he can to bottle up as his ‘remedies’. Sung by Geoffrey Dolton, it’s a novel characterisation, far removed from the standard slick-salesman stereotype – no-one is more surprised than Dulcamara that he finds credibility with the locals, and you wouldn’t know that Dolton joined the production only two weeks ago, owing to the original Dulcamara’s withdrawal through illness.Much of the success of this production revolves around Sarah Tynan’s Adina, a distinguished performance with layers of expressive range and vocal shading – and she grows in dignity after admitting her love for Nemorino. Aldo di Toro’s Nemorino is a good complement. Just occasionally his lyricism needs more space but the lithe Italianate colouring is there, and he is convincing as the apparently dull-brained worker who ultimately becomes one of the first to recognise Dulcamara’s charlatanism. George von Bergen is entertaining as the blustery sergeant Belcore, Nemorino’s rival for Adina’s affectations, though his soldiers’ movements are a touch ragged.Making his OHP debut, conductor Steven Higgins is highly effective if lacking in spontaneity. For its bright, sunflowery look, though, and its impressive leading couple, this Elixir is quite a tonic.
Holland Park Theatre, London, July 16-August 3"
514,La Vie Parisienne review at Iford Manor Bradford-on-Avon,https://www.thestage.co.uk/reviews/2013/la-vie-parisienne-review-at-iford-manor-bradford-on-avon/,La Vie Parisienne,Iford Manor Bradford-on-Avon,La Vie Parisienne review at Iford Manor Bradford-on-Avon,,2013-07-15,George Hall,"Lunacy reigns at Iford Manor, where this tiny but choice venue for summer opera resounds to the merry strains of Offenbach’s wickedly worldly opera bouffe in Opera della Luna’s extraordinarily energetic production directed by the inspired Jeff Clarke.Offenbach’s dramatic style – buoyant, anarchic, lip-smackingly sexual – has proved hard to reproduce in UK productions, but here Clarke’s fidelity to the spirit and often the letter of the original pays dividends; Act IV, which was cut from all but the first staging in Offenbach’s lifetime, is included, making the show on the long side, but also giving us an idea of its real scope and nature. Clarke’s Franglais translation is also a plus, and snappily delivered by the cast, with the two young Parisian rakes – Anthony Flaum’s Gardefeu and Oliver White’s Bobinet – both superbly entertaining. Once or twice accents – French or Swedish mainly – come adrift, but the sense of surreal hilarity is maintained throughout.Musical values, too, are high. Geoffrey Paterson leads a precise and spirited account of the score, with strong singing from all the principals and peppy playing from the Chroma Chamber Ensemble. Thibault Perrine’s reduced version of the score has been expertly done.The company work their socks off, many of them doubling and tripling roles of whatever sex to get us through the absurdist complexities of Offenbach’s crazy day in the tempting world of Parisian vice. Philip Cox’s Baron Gondremark loses his dignity more times than a House of Commons full of MPs. It’s a delightful show by a company that is fast approaching national treasure status.
Iford Manor, Bradford-on-Avon, July 5-16"
515,Britten: The Canticles review at Linbury Studio London,https://www.thestage.co.uk/reviews/2013/britten-the-canticles-review-at-linbury-studio-london/,Britten: The Canticles,Linbury Studio London,Britten: The Canticles review at Linbury Studio London,,2013-07-12,George Hall,"Written at various times between 1947 and 1974, Britten’s canticles set poetic texts that meant much to the composer and were designed for performers he was personally close to – most notably his tenor partner Peter Pears.In presenting them in staged form, Neil Bartlett and Paule Constable have themselves recreated two pieces – Bartlett takes on My Beloved is Mine, Constable the TS Eliot poem Journey of the Magi – while inviting three colleagues to visualise the others; Scott Graham presents Abraham and Isaac with a group of dancers from Ignition Physical Theatre, film director John Keane uses footage from Britain during World War II to accompany the Edith Sitwell setting Still Falls the Rain, while Wendy Houstoun choreographs dancer Dan Watson in another Eliot text, The Death of St Narcissus.The idea works well. Not originally intended to be dramatically realised, Britten’s pieces are performed with distinction by such leading singers as Ian Bostridge, Iestyn Davies and Benedict Nelson, with Julius Drake the immaculate pianist, Richard Watkins the fine horn player in Still Falls the Rain and Sally Pryce the excellent harpist in The Death of St Narcissus. The stagings mostly complement the musical performances rather than dramatising them – though Constable co-opts the vocalists to present Eliot’s three wise men as weary travellers with suitcases.Bartlett’s touching visualisation of My Beloved is Mine as a domestic scene in which a gay couple breakfast together makes a memorable start, but each of the five pieces is sensitively and imaginatively enacted.The result is a uniquely intimate tribute to Britten in his centenary year.
Linbury Studio, London, July 11-12"
516,La Rondine review at Royal Opera House London,https://www.thestage.co.uk/reviews/2013/la-rondine-review-at-royal-opera-house-london/,La Rondine,Royal Opera House London,La Rondine review at Royal Opera House London,,2013-07-09,George Hall,"One of the most visually glamorous productions in the Royal Opera’s repertory, La Rondine is back for another revival. Designed by Ezio Frigerio and Franca Squarciapino, its belle epoque sets and costumes once again look marvellous. So does Angela Gheorghiu, returning to the staging she starred in when it was new in 2002. She sings the title role of Magda, the mature kept woman who briefly seeks true love with a young man but then finally leaves him – like a swallow migrating for the winter and then returning home. Dramatically the part still suits her well, though this time around her voice sounds diminished, especially in the lower register.She’s finely partnered by the fresh-faced ingenu of Charles Castronovo’s Ruggero, whose discrete and charming manner is just right. So is Edgaras Montvidas’ immaculate vocal and physical exploration of the sophisticated society wit Prunier. Partnering him is Spanish soprano Sabina Puertolas as Magda’s maid, Lisette, who finds the ideal tone for the irrepressible character. As Magda’s wealthy protector Rambaldo, Pietro Spagnoli suggests gravitas and considerable patience when she ends their relationship – temporarily, as it turns out.Despite a score that is genuinely alluring in its subtle use of harmonic and orchestral colour, La Rondine remains the most neglected of Puccini’s mature works, perhaps because the third act does not quite clinch the deal in the way one expects of this master of operatic construction. Some reservations about Gheorghiu’s vocal condition apart, this proves a worthwhile revival – though a more dynamic conductor than Marco Armiliato would give it an additional shot in the arm.
Royal Opera House, London, July 8-21"
517,Hippolyte et Aricie review at Glyndebourne Lewes,https://www.thestage.co.uk/reviews/2013/hippolyte-et-aricie-review-at-glyndebourne-lewes/,Hippolyte et Aricie,Glyndebourne Lewes,Hippolyte et Aricie review at Glyndebourne Lewes,,2013-07-01,George Hall,"Glyndebourne’s second new production of the 2013 season represents something of a departure; after winning success with Handel and Purcell, the summer festival turns its attention for the first time to the French Baroque and a work by Jean-Philippe Rameau. Director Jonathan Kent and designer Paul Brown – who gave Glyndebourne a major hit with Purcell’s The Fairy Queen in 2009 – return to tackle this project, as does Baroque specialist conductor William Christie and the Orchestra of the Age of Enlightenment.Little known to UK audiences, Hippolyte et Aricie was premiered in 1733, when its novice opera composer was already 50; he would go on to produce a string of scores for Parisian audiences that remained in the French repertory up to the Revolution. Based on Racine’s classical tragedy Phedre, the plot describes how Theseus’s second wife falls in love with her stepson, Hippolytus; he, meanwhile, is in love with Aricia, a chaste follower of the goddess Diana. Phaedra cannot control her passion, and when Theseus returns home to discover his son apparently attacking his wife the scene is set for a tragedy on a grand scale. Eventually, and against all the odds, Hippolytus and Aricia are allowed to unite. Phaedra, meanwhile, kills herself from grief and guilt.Unlike in The Fairy Queen – admittedly a much lighter entertainment – where their touch was so sure, on this occasion Kent and Brown cannot seem to decide how seriously to treat their material. The substantial prologue – in which the gods Diana and Cupid quarrel over their respective power over mortals – is set in, of all things, a fridge, with Cupid bursting out of an egg. Yet despite such flippant gestures much of the action is skilfully directed, even if the opera’s final rejoicing over Diana’s bringing together of Hippolytus and Aricia is shadowed by being placed in a morgue, where the dead Phaedra returns to watch proceedings and poor Cupid has apparently been hung. On their own witty terms, Brown’s designs show consistent visual inventiveness, while Ashley Page’s choreography for the extensive dance sequences is playful; but the show is frequently off-message and the opera fails to make its full potential impact, notwithstanding Christie’s expert sense of style, the refined orchestral playing and some strong performances in the main roles.Of these, Sarah Connolly’s Phaedra leads the field. Following her Medea for English National Opera in February, the mezzo discovers another full-bodied star part to sink her teeth into, seizing and holding the audience’s sympathetic attention throughout Phaedra’s long and painful emotional journey. Christiane Karg’s Aricia and Ed Lyon’s Hippolytus convincingly represent the innocent young lovers held apart by powerful forces beyond their control. Stephane Degout is the permanently troubled Theseus, while divine intervention comes in the elegant shapes of Katherine Watson’s radiant Diana and Ana Quintans’s lyrical Cupid.
Glyndebourne, Lewes, June 29-August 18"
518,Simon Boccanegra review at Royal Opera House London,https://www.thestage.co.uk/reviews/2013/simon-boccanegra-review-at-royal-opera-house-london/,Simon Boccanegra,Royal Opera House London,Simon Boccanegra review at Royal Opera House London,,2013-06-28,George Hall,"Elijah Moshinsky returns to direct his 1991 production of Verdi’s most sombre opera. The staging looks its age, and some previous revivals have achieved a higher level of dramatic cogency – here some of the individual performances need altogether more conviction, and at times there’s a sense of routine.Matters improve over the course of the evening, fortunately, with an increased sense of momentum from the pit, where Antonio Pappano presides over a never less than solid musical performance.It’s not quite enough for this taxing opera, however. Ferruccio Furlanetto is the weighty Fiesco, pouring out rich Italianate tone all night, but the implacable hatred the character bears for Boccanegra need more vivid expression. As the Doge himself, Thomas Hampson proves a relative lightweight in a heavyweight role, sometimes untidy in his charting of Verdi’s vocal line. The lack of a true core of baritonal iron to his tone is not compensated by acting that is demonstrative rather than gripping.There’s some fine singing from Russian soprano Hibla Gerzmava, though her voice never quite blossoms at the top as it should. She’s a decent enough actress. Most striking of the principals is the American tenor Russell Thomas, in his Royal Opera debut, who rises to considerable heights in his second-act aria, while the most consistent is the Greek baritone Dimitri Platanias as the villainous Paolo, who never loses connection with the character he is playing and sings with granite-like determination. But overall it’s an uneven evening, rarely rising to the heights demanded by one of Verdi’s greatest creations.
Royal Opera House, London, June 27-July 16"
519,Hansel und Gretel review at Wormsley Estate High Wycombe,https://www.thestage.co.uk/reviews/2013/hansel-und-gretel-review-at-wormsley-estate-high-wycombe/,Hansel und Gretel,Wormsley Estate High Wycombe,Hansel und Gretel review at Wormsley Estate High Wycombe,,2013-06-24,Graham Rogers,"Composed by a one-time assistant to Richard Wagner and hailed as a masterpiece by Richard Strauss (who conducted its 1893 premiere), Engelbert Humperdinck’s operatic telling of Hansel and Gretel far transcends its original function as children’s entertainment. It certainly entertains, thanks partly to the score’s abundance of appealing folk-like melodies, but there is depth and darkness too – and Humperdinck’s deft blend of sophistication and grandeur ensures there is plenty for both connoisseurs and newcomers to appreciate.That is especially true in this engaging new Garsington production by Olivia Fuchs, designed by Niki Turner. The tone is just right, Fuchs maintaining a sense of childlike wonder as well as presenting some neat touches of her own. Reflecting the story’s origins, the action takes place mainly on a vast book of Grimms’ Fairy Tales – the children’s house and, later, the gingerbread house rising from the open pages, with giant cupcakes and sweets spread around the stage.A strong cast is led by rising talents Claudia Huckle and Anna Devin, whose relative youth aids believable portrayals of Hansel and Gretel. Devin’s silvery soprano is especially delightful. Susan Bickley’s magnificent witch oozes evil deliciously, all fluffy marigold-wearing persona and pink rinse hair-do.The magical score is well served by the chamber-sized Garsington orchestra and conductor Martin Andre’s well-paced direction, helped by the acoustic of the splendid Wormsley pavilion, clearer than many opera houses. Chill drafts penetrate the heating on inclement summer evenings, but on opening night a perfectly timed thunderstorm gave marvellous atmospheric enhancement to Hansel and Gretel’s forest foray.An energetic chorus of children from Old Palace School and Trinity Boys Choir provides an upbeat and touching conclusion to an overwhelmingly joyous experience.
Wormsley Estate, High Wycombe, June 22-July 11"
520,Gloriana review at Royal Opera House London,https://www.thestage.co.uk/reviews/2013/gloriana-review-at-royal-opera-house-london/,Gloriana,Royal Opera House London,Gloriana review at Royal Opera House London,,2013-06-21,George Hall,"Sixty years after its premiere during the week of Queen Elizabeth II’s coronation, the Royal Opera revives Britten’s work about Queen Elizabeth I and her relationship with her favourite, the Earl of Essex. In the interim, and despite successful productions by English National Opera and especially Opera North, Gloriana has failed to shake off the muted reception it received back in 1953 from a first-night audience consisting largely of courtiers and diplomats.Richard Jones’ staging, which opened in Hamburg in March, makes partial amends. Together with Ultz’s designs, the director turns the show into a pageant presented before the young Elizabeth II as a kind of village-hall homage. It begins with a parade of monarchs, going backwards in time until we reach the Tudor period. The opera proper is then played as if by a fully professional company, though with stage-crew and staff recognisably amateur and of the early 1950s. The current queen makes brief appearances at the very beginning and the end. The framing device, though, undoubtedly keeps the audience at a distance from what is a real drama about power and the conflicts of love and monarchical duty. It’s visually clever, though difficult to engage with.Some of the performances strike home nevertheless, especially Toby Spence’s Essex, a real return to vocal form as well as an in-depth study of the charming, ruthlessly ambitious young man who has set Elizabeth’s heart aflutter. Susan Bullock’s queen starts less certainly but rises, as does the production as a whole, to real expressive power. Paul Daniel conducts with skill though not enough electricity.Gloriana at the Royal Opera House.
Royal Opera House, London, June 20-July 6"
521,Death in Venice review at Coliseum London,https://www.thestage.co.uk/reviews/2013/death-in-venice-review-at-coliseum-london/,Death in Venice,Coliseum London,Death in Venice review at Coliseum London,,2013-06-19,George Hall,"Following successful transfers to Brussels and to La Scala, Milan, Deborah Warner’s staging of Britten’s last opera returns to the Coliseum for a second run. This is Warner’s most impressive opera production, sensitive to the beauty and mystery of the Venetian setting in Tom Pye’s suggestive sets and Chloe Obolensky’s immaculate period costumes – all subtly lit by Jean Kalman; as well as in the fine individual performances and the movement of ENO’s exceptional chorus.Kim Brandstrup’s choreography, too, is memorable in itself as well as neatly aligned with the overall trajectory of the show. In Britten’s opera, Tadzio, his family and his friend Jaschiu are all played by silent dancers. Sam Zaldivar represents the Polish youth with whom Aschenbach falls in love with grace and energy, in a near perfect encapsulation of the part.Aschenbach is a role to which John Graham-Hall brings a sureness of dramatic understanding and developed acting skills that allow his interpretation to be listed among those of the work’s finest exponents thus far. Andrew Shore, too, singing the seven ambiguous or enigmatic characters who lead Aschenbach steadily towards his death, individualises and makes each one memorable. Tim Mead’s Voice of Apollo is beautifully vocalised – though, here, some help for the audience in understanding the words would have been useful, surtitles not being used in this production.In the pit, ENO’s music director Edward Gardner delivers a perceptive reading of the score that highlights its infinite delicacy as well as maintaining a flawless sense of momentum. With this superb realisation ENO’s season ends on a high note.
Coliseum, London, June 18-26"
522,Grimes on the Beach review at Aldeburgh Beach,https://www.thestage.co.uk/reviews/2013/grimes-on-the-beach-review-at-aldeburgh-beach/,Grimes on the Beach,Aldeburgh Beach,Grimes on the Beach review at Aldeburgh Beach,,2013-06-18,George Hall,"Celebrations of the centenary of Benjamin Britten’s birth are taking place in 39 countries, such is the widespread appeal of one of our greatest composers. Few will have been as imaginative as this open-air production of his first major opera in the town where he lived for most of his life and where he founded the Aldeburgh Festival in 1948, three years after Peter Grimes brought him international fame.Directed by Tim Albery, designed by Leslie Travers and conducted by Britten’s long-time associate Steuart Bedford, Grimes on the Beach has been long in the planning and surely succeeded in its grand aims on opening night. The wind was up on Aldeburgh Beach, but the rain held off, and the sea and sky provided a powerfully evocative backdrop to a mighty performance of this tragic, locally based masterpiece.Staged on a substantial platform filled with fishing boats and peopled by the members of the hostile community that harries Grimes to his death, the drama makes a huge impact. So does the vital singing of the large chorus and the playing of the Britten-Pears Orchestra – the one element pre-recorded for the otherwise live production. Alan Oke portrays a disturbed Grimes, unable to connect positively to his fellow villagers. Giselle Allen conveys the warmth of Ellen Orford, the local schoolteacher who is Grimes’ sole friend. David Kempster suggests the wary wisdom of Captain Balstrode, the most dispassionate of the Borough’s inhabitants. During the evening the emotional temperature rises to a terrifying climax, offering an unforgettable experience for those lucky enough to be present.
Aldeburgh Beach, June 17-21"
523,Le Nozze di Figaro review at Glyndebourne Lewes,https://www.thestage.co.uk/reviews/2013/le-nozze-di-figaro-review-at-glyndebourne-lewes/,Le Nozze di Figaro,Glyndebourne Lewes,Le Nozze di Figaro review at Glyndebourne Lewes,,2013-06-17,George Hall,"Michael Grandage’s production – a major success when it opened last summer – makes it first return to the festival in the care of revival director Ian Rutherford. It’s not quite as sharp or funny as before – the tone has lost the neat balance between comedy and seriousness that Grandage achieved – but it remains a superbly good-looking show in Christopher Oram’s glamorous designs. His elegant and atmospheric Moorish-Spanish sets are some of the most visually appealing Glyndebourne has recently offered, and in his witty and apposite costumes the characters play out their roles in a clever 1960s update of the original 18th-century setting. Narrative values are high, down to the tiniest details of this busily plotted comedy.The cast is good without effacing memories of the generally superior original team. A delicious Susanna last time around, Lydia Teuscher here moves to Cherubino, offering a game, likable performance. Her replacement as a pragmatic Susanna is Laura Tatulescu, who always seems in charge of proceedings but is a little cool. Adam Plachetka’s Figaro is warm and engaging rather than the dominating presence needed. Joshua Hopkins, however, is as prepossessing as last year’s Count, entering fully into the potential of the sexually rapacious, constantly frustrated nobleman. Amanda Majeski is a tall and elegant Countess, a little distanced dramatically from her beautifully sung performance. Among the smaller roles, Timothy Robinson’s reptilian Basilio and Anne Mason’s full-on Marcellina stand out. Jeremie Rhorer draws sleek music-making from the London Philharmonic, though some of the fizz has undoubtedly gone out of the champagne.
Glyndebourne, Lewes, June 14-August 2"
524,Wagner Dream review at Wales Millennium Centre Cardiff,https://www.thestage.co.uk/reviews/2013/wagner-dream-review-at-wales-millennium-centre-cardiff/,Wagner Dream,Wales Millennium Centre Cardiff,Wagner Dream review at Wales Millennium Centre Cardiff,,2013-06-07,George Hall,"The British composer Jonathan Harvey – internationally admired for his complex and colourful music, which combined a broad and non-dogmatic modernist aesthetic with a deep sense of spirituality – died last December aged 73. Premiered in Luxembourg in 2006, his final opera receives its first full UK staging by WNO, a recreation of the original, designed by Jean Kalman and Robby Duiveman and thoughtfully directed by Pierre Audi.The subject coincides neatly with this year’s Wagner bicentenary. The German composer died of a heart attack in Venice in 1883, supposedly following a row with his wife Cosima about his interest in a young singer called Carrie Pringle. Meanwhile, he was still pondering writing an opera concerning the Buddha, for which he had earlier written a brief synopsis; its crucial event would have been the unprecedented admission of a woman to the Buddha’s religious order.In Harvey’s work, to a libretto by Jean-Claude Carriere, these two elements mingle. As Wagner is first struck by his heart attack, he begins to dream the opera he never wrote, eventually dying when it comes to its end. Harvey’s score pays light homage to Wagner’s music, but is characteristically his own blend of vivid and subtle orchestral colouring and enriched harmony, all topped off with a dramatically purposive lyricism and some atmospheric electronics. It registers powerfully in this imaginative staging, with the teams of actors playing Wagner and his circle and of singers recreating the Buddhist legend both excellent, while the piece itself registers as one of the finest of recent British operas.
Wales Millennium Centre, Cardiff, June 6-7, then at Hippodrome, Birmingham, June 12"
525,Cavalleria rusticana/Pagliacci review at Holland Park London,https://www.thestage.co.uk/reviews/2013/cavalleria-rusticana-pagliacci-review-at-holland-park-london/,Cavalleria rusticana/Pagliacci,Holland Park London,Cavalleria rusticana/Pagliacci review at Holland Park London,,2013-06-05,George Hall,"Opera Holland Park opens its summer season with a double bill of the two works opera fans usually call just ‘Cav & Pag’. Mascagni’s Cavalleria began the Italian verismo (or realist) movement in Rome in 1890; Leoncavallo’s Pagliacci followed the new trend in Milan two years later. In Stephen Barlow’s hard-hitting stagings, and with conductor Stuart Stratford securing musical performances any opera company would be proud of, the results make an exciting evening of music theatre at its best.In Yannis Thavoris’s adaptable orange-box set and 1950s costumes, Barlow presents a close and traditional Sicilian community in Cavalleria. Gweneth-Ann Jeffers pours out rich tone as the betrayed Santuzza, whose revenge on Peter Auty’s two-timing soldier-boy lover Turiddu is swift and terrible. Wielding the knife is Stephen Gadd’s authoritative Alfio, a three-dimensional portrait voiced in a firm, dark baritone. Hannah Pedley’s sexy Lola and Sarah Pring’s permanently fraught Mamma Lucia complete a cast that is visually convincing and vocally authentic.Auty and Gadd reappear in Pagliacci, doubling their workload but holding firm under the pressure involved. Auty brings terrifying intensity to Canio, the leader of a group of travelling performers who discovers his wife Nedda with her lover, while Gadd is once again excellent as Tonio, the clown whose advances Nedda mockingly rejects. Julia Sporsen, meanwhile, makes an in-depth exploration of Nedda’s hopes and frustrations, while Korean baritone Chang-Han Lim is persuasive as her young lover, Silvio. Both shows grip from start to finish, with the final minutes of Pagliacci keeping the audience right on the edge of their seats.
Holland Park, London, June 4-28"
526,The Perfect American review at Coliseum London,https://www.thestage.co.uk/reviews/2013/the-perfect-american-review-at-coliseum-london/,The Perfect American,Coliseum London,The Perfect American review at Coliseum London,,2013-06-03,George Hall,"Jointly commissioned by ENO and the Teatro Real in Madrid, Philip Glass’ 24th opera arrives in the UK following its premiere in Spain in January. ENO has a solid track record with the 76-year-old American minimalist’s scores, having presented Akhnaten back in 1985, The Making of the Representative for Planet 8 in 1988, and Satyagraha – a particular success – in 2007.Like the latter piece, whose subject was Gandhi, The Perfect American considers an important 20th-century figure – in this case that icon of American popular culture, Walt Disney. As with Satyagraha, ENO’s production is in the imaginative hands of Phelim McDermott of Improbable, with unusually apposite video designs by Leo Warner and animation direction by Joseph Pierce, both of 59 Productions; other regular Improbable collaborators Dan Potra (sets and costumes) and Ben Wright (choreography) are also on board. Visually, the result is a fully integrated show that cleverly manages to suggest iconic elements of Disney imagery without actually quoting them.Rudy Wurlitzer’s libretto is based on Peter Stephan Jungk’s book The Perfect American, a factional fantasy based around Walt Disney’s life and more specifically his death from lung cancer in 1966. As transcribed into the opera, Disney’s illness causes him to review his life and career as he ponders his staunchly conservative all-American attitudes, his relationships, and his legacy. Interrupting his distinctly limited capacity for self-criticism is the invented figure of William Dantine, who represents one of the many unnamed artists for whose work Disney himself took all the credit. Having been sacked by Disney for trying to organise a union, and now leading a campaign to gain some recognition for his creativity, Dantine makes no dent in Disney’s views; instead, Walt focuses on his idealised background in the small-town backwater of Marceline, Missouri, where he grew up.While the overall concept is potentially fascinating, too much of the piece feels one-dimensional, with little in the way of complexity or nuance. That’s less true – perhaps surprisingly – of the score, though its advance over Glass’ previous works is unlikely to be so significant as to persuade his many detractors to seriously reconsider their positions; but it’s fair to say that there’s a richer use of harmony and colour. Conductor Gareth Jones presides over a neat musical interpretation.Individual performances are consistently good. In the title role, Christopher Purves does everything possible to humanise a character drawn with cartoon-like obviousness. Donald Kaasch struggles with the even less rounded portrayal of Dantine. David Soar as Disney’s brother Roy, Janis Kelly as his personal nurse Hazel George, and Pamela Helen Stephen as his wife Lillian all make the most of their material.A handful of scenes register positively. In one, Disney confronts a malfunctioning animatronic robot of Abraham Lincoln, wittily played by Zachary James; while deferring to Lincoln’s greatness, Disney disagrees with just about everything the historic President ever said or did. As personified by John Easterlin, Andy Warhol’s cameo appearance is wonderfully sharp. Most resonant of all are the moments when Disney draws close to young fellow-cancer-sufferer Josh, beautifully realised by Rosie Lomas. In these tangential episodes, both libretto and score achieve a warmth and engagement that stand out from an uneven operatic achievement.
Coliseum, London, June 1-28"
