,country,city,venue,dates,composer,work,listing_url
12,Switzerland,Bern,Stadttheater,"April 07 19:30, April 10 19:30, April 22 18:00, April 24 19:30, April 26 19:30, May 04 19:30, May 06 16:00, May 12 19:30, May 18 19:30, May 26 19:30, June 03 18:00, June 06 19:30, June 10 18:00, June 12 19:30, June 17 18:00, June 21 19:30","Bizet, Georges (1838-1875)",Carmen,https://bachtrack.com/opera-listing/stadttheater/carmen/07-april-2018/19-30
13,Belgium,Liège,Opéra Royal de Wallonie-Liège,"June 12 20:00, June 14 20:00, June 17 15:00, June 20 20:00, June 23 20:00, June 26 20:00","Verdi, Giuseppe (1813-1901)",Macbeth,https://bachtrack.com/opera-listing/opera-royal-de-wallonie-liege/macbeth/12-june-2018/20-00
14,Poland,Warsaw,Teatr Wielki,"June 07, 08, 09, 10 18:00, 12, 13, 14, 15, 16, 17 18:00 (at 19:00 unless shown)","Bizet, Georges (1838-1875)",Carmen,https://bachtrack.com/opera-listing/teatr-wielki/carmen/07-june-2018/19-00
15,France,Paris,"Salle Favart, Opéra Comique","June 02, 04, 06, 08, 10 15:00, 12, 14 (at 20:00 unless shown)","Gounod, Charles-Francois (1818-1893)",La Nonne sanglante,https://bachtrack.com/opera-listing/opera-comique/la-nonne-sanglante/02-june-2018/20-00
16,Italy,Bologna,Teatro Comunale,"June 06, 08, 10, 12, 14 at 00:00","Verdi, Giuseppe (1813-1901)",Don Carlo(s),https://bachtrack.com/opera-listing/teatro-comunale-1281/don-carlo/06-june-2018/00-00
17,Czech Republic,Prague,Karlín Music Theatre,"February 20 17:00, March, April 17, May 08, 21, June 12, 24 (at 19:00 unless shown)","Puccini, Giacomo (1858-1924)",Turandot,https://bachtrack.com/opera-listing/karlin-music-theatre/turandot/20-february-2018/17-00
18,Czech Republic,Prague,National Theatre (Národní divadlo),"2017 October 30, November 25, December 07, 26, 2018 January 09, February 02, 27, March, April 21, May 12, June at 19:00","Bizet, Georges (1838-1875)",Carmen,https://bachtrack.com/opera-listing/national-theatre-narodni-divadlo/carmen/30-october-2017/19-00
19,Germany,Düsseldorf,Opernhaus,"May 27 18:30, June 02 19:30, June 12 19:30","Mozart, Wolfgang Amadeus (1756-1791)",Die Entführung aus dem Serail (The Abduction from the Harem),https://bachtrack.com/opera-listing/opernhaus-2016/die-entfuhrung-aus-dem-serail/27-may-2018/18-30
20,United States,San Francisco,War Memorial Opera House,"June 12, 19, 26 at 19:30","Wagner, Richard (1813-1883)",Das Rheingold,https://bachtrack.com/opera-listing/war-memorial-opera-house/das-rheingold/12-june-2018/19-30
21,France,Paris,Opéra Bastille,"May 17, 19, 22, 27 14:30, 30, June 02, 08, 12, 14, 17 14:30 (at 19:30 unless shown)","Ravel, Maurice (1875-1937)",L'Heure espagnole,https://bachtrack.com/opera-listing/opera-bastille/lheure-espagnole-gianni-schicchi/17-may-2018/19-30
22,France,Paris,Opéra Bastille,"May 17, 19, 22, 27 14:30, 30, June 02, 08, 12, 14, 17 14:30 (at 19:30 unless shown)","Puccini, Giacomo (1858-1924)",Gianni Schicchi,https://bachtrack.com/opera-listing/opera-bastille/lheure-espagnole-gianni-schicchi/17-may-2018/19-30
23,Austria,Vienna,Kammeroper,"May 15, 17, 19, 23, 25, 27, June 06, 08, 10, 12 at 19:00","Mozart, Wolfgang Amadeus (1756-1791)",Così fan tutte,https://bachtrack.com/opera-listing/kammeroper/cosi-fan-tutte/15-may-2018/19-00
24,Latvia,Riga,Latvian National Opera,"April 15, June 13 at 19:00","Stravinsky, Igor (1882-1971)",The Rake's Progress,https://bachtrack.com/opera-listing/latvian-national-opera/the-rakes-progress/15-april-2018/19-00
25,Belgium,Ghent,"Opera Vlaanderen, Ghent","June 13 20:00, June 15 20:00, June 17 15:00, June 19 20:00","Prokofiev, Sergei (1891-1953)",The Gambler,https://bachtrack.com/opera-listing/opera-vlaanderen-ghent/the-gambler/13-june-2018/20-00
26,Austria,Vienna,Staatsoper,"June 13, 16, 19 at 19:00","Puccini, Giacomo (1858-1924)",Tosca,https://bachtrack.com/opera-listing/staatsoper/tosca/13-june-2018/19-00
27,Hungary,Budapest,Müpa: Béla Bartók National Concert Hall,"June 07, 13, 16 at 16:00","Wagner, Richard (1813-1883)",Tristan und Isolde,https://bachtrack.com/opera-listing/mupa-bela-bartok-national-concert-hall/wagner-tristan-und-isolde/07-june-2018/16-00
28,Switzerland,Zürich,Opernhaus,"May 27 19:00, May 30 19:00, June 02 19:00, June 07 20:00, June 10 19:30, June 13 19:00, June 17 14:00, June 20 19:00, June 28 19:00","Verdi, Giuseppe (1813-1901)",La forza del destino,https://bachtrack.com/opera-listing/opernhaus-1069/la-forza-del-destino/27-may-2018/19-00
29,Spain,Barcelona,Gran Teatre del Liceu,"June 07 20:00, June 10 17:00, June 13 20:00, June 16 20:00, June 19 20:00, June 21 20:00","Puccini, Giacomo (1858-1924)",Manon Lescaut,https://bachtrack.com/opera-listing/gran-teatre-del-liceu/manon-lescaut/07-june-2018/20-00
30,United Kingdom,London,"Royal Opera House, Covent Garden","June 07 18:00, June 10 15:00, June 13 18:00, June 17 13:00, June 23 18:00, June 28 18:00, July 01 15:00","Wagner, Richard (1813-1883)",Lohengrin,https://bachtrack.com/opera-listing/royal-opera-house-covent-garden/lohengrin/07-june-2018/18-00
31,Belgium,Brussels,La Monnaie | De Munt: Grand Hall,"June 08 20:00, June 10 15:00, June 13 20:00, June 16 20:00, June 19 20:00, June 21 20:00, June 24 15:00","Bartók, Béla (1881-1945)","The Miraculous Mandarin, Op.19, Sz 73",https://bachtrack.com/opera-listing/la-monnaie-de-munt-grand-hall/the-miraculous-mandarin-bluebeards-castle/08-june-2018/20-00
32,Belgium,Brussels,La Monnaie | De Munt: Grand Hall,"June 08 20:00, June 10 15:00, June 13 20:00, June 16 20:00, June 19 20:00, June 21 20:00, June 24 15:00","Bartók, Béla (1881-1945)",Duke Bluebeard's Castle,https://bachtrack.com/opera-listing/la-monnaie-de-munt-grand-hall/the-miraculous-mandarin-bluebeards-castle/08-june-2018/20-00
33,Czech Republic,Prague,Estates Theatre (Stavovské divaldo),"February 01, 03, 04 17:00, 16, 28, March 24, April 17, 29, May 05, 18, June 08, 13 (at 19:00 unless shown)","Mozart, Wolfgang Amadeus (1756-1791)",Le nozze di Figaro (The Marriage of Figaro),https://bachtrack.com/opera-listing/estates-theatre-stavovske-divaldo/le-nozze-di-figaro-the-marriage-of-figaro/01-february-2018/19-00
34,France,Mulhouse,Théâtre de la Sinne,"June 13, 15 at 15:00","Weill, Kurt (1900-1950)",Mahagonny Songspiel,https://bachtrack.com/opera-listing/theatre-de-la-sinne/les-sept-peches-capitaux-arnold-schonberg-kurt-weill/13-june-2018/15-00
35,France,Mulhouse,Théâtre de la Sinne,"June 13, 15 at 15:00","Schoenberg, Arnold (1874-1951)",Pierrot Lunaire,https://bachtrack.com/opera-listing/theatre-de-la-sinne/les-sept-peches-capitaux-arnold-schonberg-kurt-weill/13-june-2018/15-00
36,France,Mulhouse,Théâtre de la Sinne,"June 13, 15 at 15:00","Weill, Kurt (1900-1950)",The Seven Deadly Sins,https://bachtrack.com/opera-listing/theatre-de-la-sinne/les-sept-peches-capitaux-arnold-schonberg-kurt-weill/13-june-2018/15-00
37,France,Paris,Opéra Bastille,"June 04, 07, 10 14:30, 13, 16, 19, 22, 26, 29, July 02, 06, 09, 12 (at 20:00 unless shown)","Mussorgsky, Modest Petrovich (1839-1881)",Boris Godunov,https://bachtrack.com/opera-listing/opera-bastille/boris-godunov/04-june-2018/20-00
38,United States,San Francisco,War Memorial Opera House,"June 13, 20, 27 at 19:00","Wagner, Richard (1813-1883)",Die Walküre,https://bachtrack.com/opera-listing/war-memorial-opera-house/die-walkure/13-june-2018/19-00
39,Germany,Berlin,"Berlin State Opera, Unter den Linden","June 02, 07, 09, 13, 16 at 19:30","Puccini, Giacomo (1858-1924)",Tosca,https://bachtrack.com/opera-listing/berlin-state-opera-unter-den-linden/tosca/02-june-2018/19-30
40,Germany,Frankfurt am Main,Oper Frankfurt,"March 13 18:00, March 18 19:30, March 20 18:00, March 27 19:30, June 03 18:00, June 13 19:30, June 16 19:30, June 22 19:30, June 25 19:30","Lehár, Franz (1870-1948)",Die Lustige Witwe (The Merry Widow),https://bachtrack.com/opera-listing/oper-frankfurt/die-lustige-witwe-the-merry-widow/13-march-2018/18-00
41,Italy,Rome,"Teatro Costanzi, Teatro dell'Opera","June 13 20:00, June 14 20:00, June 15 20:00, June 16 18:00, June 17 16:30, June 19 20:00, June 20 20:00, June 21 20:00, June 22 20:00, June 23 18:00, June 24 16:30","Puccini, Giacomo (1858-1924)",La bohème,https://bachtrack.com/opera-listing/teatro-costanzi-teatro-dellopera/la-boheme/13-june-2018/20-00
42,France,Marseille,Opéra de Marseille,"June 06 20:00, June 10 14:30, June 13 20:00, June 16 20:00","Verdi, Giuseppe (1813-1901)",Ernani,https://bachtrack.com/opera-listing/opera-de-marseille/ernani/06-june-2018/20-00
43,Germany,Duisburg,Theater Duisburg,"June 13 19:30, June 21 19:30, July 01 15:00","Lehár, Franz (1870-1948)",The Count of Luxembourg (Der Graf von Luxemburg),https://bachtrack.com/opera-listing/theater-duisburg/der-graf-von-luxemburg/13-june-2018/19-30
44,Germany,Stuttgart,Staatsoper Stuttgart,"June 13 19:00, June 22 19:00, June 29 19:00, July 05 00:00","Britten, Benjamin (1913-1976)",Death in Venice,https://bachtrack.com/opera-listing/staatsoper-stuttgart/death-in-venice/13-june-2018/19-00
45,Germany,Berlin,Deutsche Oper,"2017 August 31, September 30, October 13, November 28, December 27, 2018 February 23, March 11, May 26, June 14 at 19:30","Mozart, Wolfgang Amadeus (1756-1791)",Die Zauberflöte (The Magic Flute),https://bachtrack.com/opera-listing/deutsche-oper/die-zauberflote/31-august-2017/19-30
46,Switzerland,Bern,Stadttheater,"May 19, 23, 27 18:00, June 01, 09, 14, 16, 19, 27 (at 19:30 unless shown)","Janáček, Leoš (1854-1928)",Káťa Kabanová,https://bachtrack.com/opera-listing/stadttheater/kata-kabanova/19-may-2018/19-30
47,United Kingdom,Glyndebourne,Glyndebourne Opera House,"May 19 17:10, May 23 17:10, May 26 17:10, May 31 17:10, June 03 16:35, June 06 17:10, June 09 17:10, June 14 17:10, June 17 16:35, June 21 17:10, June 24 16:35, June 28 17:10, July 01 16:35, July 05 17:10, July 08 16:35, July 12 17:10, July 18 17:10","Puccini, Giacomo (1858-1924)",Madama Butterfly,https://bachtrack.com/opera-listing/glyndebourne-opera-house/madama-butterfly/19-may-2018/17-10
48,Latvia,Riga,Latvian National Opera,"April 20, June 14 at 19:00","Puccini, Giacomo (1858-1924)",Turandot,https://bachtrack.com/opera-listing/latvian-national-opera/turandot/20-april-2018/19-00
49,United Kingdom,London,Holland Park Theatre,"May 31, June 02, 06, 08, 14, 16, 20, 22 at 19:15","Mozart, Wolfgang Amadeus (1756-1791)",Così fan tutte,https://bachtrack.com/opera-listing/holland-park-theatre/cosi-fan-tutte/31-may-2018/19-15
50,Hungary,Budapest,Müpa: Béla Bartók National Concert Hall,"June 14, 17 at 16:00","Wagner, Richard (1813-1883)",Tannhäuser,https://bachtrack.com/opera-listing/mupa-bela-bartok-national-concert-hall/wagner-tannhauser/14-june-2018/16-00
51,France,Paris,Théâtre des Champs-Élysées,On Thursday 14 June 2018 at 19:30,"Gounod, Charles-Francois (1818-1893)",Faust,https://bachtrack.com/opera-listing/theatre-des-champs-elysees/gounod-faust/14-june-2018/19-30
52,Germany,Nuremberg,Staatstheater Nürnberg,"May 28 18:00, June 03 19:00, June 05 19:30, June 14 19:30, June 17 15:30, June 27 19:30, June 30 19:30, July 09 19:30, July 18 19:30","Monteverdi, Claudio (1567-1643)","Il ritorno d'Ulisse in patria (The Return of Ulysses to his Country), SV 325",https://bachtrack.com/opera-listing/staatstheater-nurnberg/il-ritorno-dulisse-in-patria/28-may-2018/18-00
53,Norway,Oslo,"Oslo Opera House, Main Stage","May 16 18:00, May 21 18:00, May 25 19:00, May 29 19:00, May 31 19:00, June 02 18:00, June 10 18:00, June 14 19:00, June 16 18:00, June 18 19:00, June 20 19:00","Mozart, Wolfgang Amadeus (1756-1791)",Don Giovanni,https://bachtrack.com/opera-listing/oslo-opera-house-main-stage/don-giovanni/16-may-2018/18-00
54,Germany,Düsseldorf,Opernhaus,"June 14, 20, 28, July 04 at 19:30","Wagner, Richard (1813-1883)",Der fliegende Holländer (The Flying Dutchman),https://bachtrack.com/opera-listing/opernhaus-2016/der-fliegende-hollander/14-june-2018/19-30
55,Germany,Frankfurt am Main,Oper Frankfurt,"June 10 18:00, June 14 19:30, June 17 19:30, June 20 19:30, June 23 19:30, June 27 19:30","Bellini, Vincenzo (1801-1835)",Norma,https://bachtrack.com/opera-listing/oper-frankfurt/norma/10-june-2018/18-00
56,United Kingdom,High Wycombe,Garsington Opera,"May 31, June 02, 08, 14, 17, 22, 30, July 11, 17, 19, 21 at 18:00","Mozart, Wolfgang Amadeus (1756-1791)",Die Zauberflöte (The Magic Flute),https://bachtrack.com/opera-listing/garsington-opera/the-magic-flute-die-zauberflote/31-may-2018/18-00
57,Germany,Stuttgart,Staatsoper Stuttgart,"May 02, 05, 12, 18, 22, 30, June 08, 14 at 19:00","Weber, Carl Maria von (1786-1826)",Der Freischütz,https://bachtrack.com/opera-listing/staatsoper-stuttgart/der-freischutz/02-may-2018/19-00
58,United Kingdom,West Horsley,The Theatre in the Woods,"June 09, 14, 17, 22, 24, 27, 30, July 05 at 18:00","Verdi, Giuseppe (1813-1901)",Un ballo in maschera,https://bachtrack.com/opera-listing/the-theatre-in-the-woods/un-ballo-in-maschera/09-june-2018/18-00
59,Germany,Hamburg,Staatsoper,"June 14 19:00, June 17 18:00, June 19 19:00, June 21 19:00","Mozart, Wolfgang Amadeus (1756-1791)",Le nozze di Figaro (The Marriage of Figaro),https://bachtrack.com/opera-listing/staatsoper-2360/le-nozze-di-figaro/14-june-2018/19-00
60,Czech Republic,Prague,National Theatre (Národní divadlo),"2017 November 10, December 17, 2018 January 11 18:30, February 21, March 28, 31, May 24, June 14 (at 19:00 unless shown)","Dvořák, Antonín (1841-1904)",Rusalka,https://bachtrack.com/opera-listing/national-theatre-narodni-divadlo/rusalka/10-november-2017/19-00
61,United States,San Francisco,Davies Symphony Hall,"June 14 20:00, June 15 20:00, June 17 14:00","Mussorgsky, Modest Petrovich (1839-1881)",Boris Godunov,https://bachtrack.com/opera-listing/davies-symphony-hall/mtt-conducts-boris-godunov/14-june-2018/20-00
62,United Kingdom,Market Harborough,Nevill Holt,"June 14, 16, 20, 21 at 17:00","Mozart, Wolfgang Amadeus (1756-1791)",Le nozze di Figaro (The Marriage of Figaro),https://bachtrack.com/opera-listing/nevill-holt/le-nozze-di-figaro-the-marriage-of-figaro/14-june-2018/17-00
63,Austria,Graz,"Schlossbergbühne, Kasematten","June 14, 15, 16, 21, 22, 23 at 20:30","Piazzolla, Astor (1921-1992)",María de Buenos Aires,https://bachtrack.com/opera-listing/schlossbergbuhne-kasematten/maria-de-buenos-aires/14-june-2018/20-30
64,Germany,Mannheim,Nationaltheater: Opernhaus,"May 02 21:00, May 13 18:00, May 20 18:00, June 14 18:00","Wagner, Richard (1813-1883)",Tannhäuser,https://bachtrack.com/opera-listing/nationaltheater-opernhaus/tannhauser/02-may-2018/21-00
65,Germany,Berlin,"Berlin State Opera, Unter den Linden","May 27, 31, June 10, 14 at 19:00","Debussy, Claude (1862-1918)",Pelléas et Mélisande,https://bachtrack.com/opera-listing/berlin-state-opera-unter-den-linden/pelleas-et-melisande/27-may-2018/19-00
66,Germany,Cologne,Oper Köln: Staatenhaus Saal 1,"May 31 18:00, June 02 19:30, June 06 19:30, June 08 19:30, June 10 18:00, June 14 19:30, June 17 18:00, June 23 19:30, June 28 19:30, July 04 19:30","Verdi, Giuseppe (1813-1901)",Falstaff,https://bachtrack.com/opera-listing/oper-koln-staatenhaus-saal-1/falstaff/31-may-2018/18-00
67,United Kingdom,Glyndebourne,Glyndebourne Opera House,"June 10 14:45, 15, 20, 23, 29, July 06, 10, 13, 15 14:45, 20, 24, 28 (at 16:05 unless shown)","Handel, George Frideric (1685-1759)","Giulio Cesare in Egitto, (Julius Caesar in Egypt) HWV 17",https://bachtrack.com/opera-listing/glyndebourne-opera-house/giulio-cesare/10-june-2018/14-45
68,Germany,Berlin,Deutsche Oper,"June 15, 22, 24, 30, July 05 at 19:30","Rossini, Gioachino (1792-1868)",Il viaggio a Reims,https://bachtrack.com/opera-listing/deutsche-oper/il-viaggio-a-reims/15-june-2018/19-30
69,Austria,Vienna,Staatsoper,"June 15, 18, 22, 26 at 18:00","Wagner, Richard (1813-1883)",Lohengrin,https://bachtrack.com/opera-listing/staatsoper/lohengrin/15-june-2018/18-00
70,Latvia,Riga,Latvian National Opera,"May 24, 25, 26, June 15 at 19:00","Donizetti, Gaetano (1797-1848)",Don Pasquale,https://bachtrack.com/opera-listing/latvian-national-opera/don-pasquale/24-may-2018/19-00
71,Germany,Klingenberg am Main,Die Clingenburg,"June 15 20:00, June 16 20:00, June 22 20:00, June 23 20:00, June 29 20:00, June 30 20:00, July 06 20:00, July 07 20:00, July 08 19:00, July 13 20:00, July 14 20:00, July 15 15:00, July 19 19:30, July 20 20:00, July 21 20:00, July 28 20:00, August 04 20:00, August 09 19:30, August 12 19:00","Bernstein, Leonard (1918-1990)",West Side Story,https://bachtrack.com/opera-listing/die-clingenburg/west-side-story/15-june-2018/20-00
72,Germany,Berlin,Komische Oper Berlin,"May 12 19:30, May 18 19:30, May 26 19:30, June 03 19:00, June 15 19:30","Handel, George Frideric (1685-1759)",Semele,https://bachtrack.com/opera-listing/komische-oper-berlin/semele/12-may-2018/19-30
73,United Kingdom,London,Holland Park Theatre,"May 29, June 01, 05, 07, 09, 15, 17 14:00, 21, 23 (at 19:30 unless shown)","Verdi, Giuseppe (1813-1901)",La traviata,https://bachtrack.com/opera-listing/holland-park-theatre/la-traviata/29-may-2018/19-30
74,Germany,Frankfurt am Main,Oper Frankfurt,"May 26 19:30, May 31 18:00, June 15 19:30, June 21 19:30, June 24 19:30","Cilea, Francesco (1866-1950)",Adriana Lecouvreur,https://bachtrack.com/opera-listing/oper-frankfurt/adriana-lecouvreur/26-may-2018/19-30
75,United Kingdom,Alresford,The Grange,"June 09, 15, 17, 22, 27, 30 at 17:30","Rossini, Gioachino (1792-1868)",Il barbiere di Siviglia (The Barber of Seville),https://bachtrack.com/opera-listing/the-grange/il-barbiere-di-siviglia-the-barber-of-seville/09-june-2018/17-30
76,United States,San Francisco,War Memorial Opera House,"June 15, 22, 29 at 18:30","Wagner, Richard (1813-1883)",Siegfried,https://bachtrack.com/opera-listing/war-memorial-opera-house/siegfried/15-june-2018/18-30
77,Germany,Hamburg,Staatsoper,"June 05, 09, 15, 20 at 19:00","Verdi, Giuseppe (1813-1901)",Otello,https://bachtrack.com/opera-listing/staatsoper-2360/otello/05-june-2018/19-00
78,United Kingdom,West Horsley,The Theatre in the Woods,"June 07, 08, 15, 16, 20, 28, 29, July 07 at 18:00","Rodgers, Richard (1902-1979)",Oklahoma!,https://bachtrack.com/opera-listing/the-theatre-in-the-woods/oklahoma/07-june-2018/18-00
79,Germany,Düsseldorf,Opernhaus,"June 15, 19 at 18:30","Mozart, Wolfgang Amadeus (1756-1791)",Le nozze di Figaro (The Marriage of Figaro),https://bachtrack.com/opera-listing/opernhaus-2016/le-nozze-di-figaro/15-june-2018/18-30
80,United Kingdom,High Wycombe,Garsington Opera,"June 01, 03, 07, 09, 15, 20, 23, 28 at 18:15","Strauss, Richard (1864-1949)",Capriccio,https://bachtrack.com/listing-richard-strauss-capriccio-miah-persson-tim-albery-douglas-boyd-garsington-opera-june-2018
81,United Kingdom,Didcot,Melhuish Farm,"June 15, 16 at 19:00","Rossini, Gioachino (1792-1868)",Il barbiere di Siviglia (The Barber of Seville),https://bachtrack.com/opera-listing/melhuish-farm/il-barbiere-di-siviglia-the-barber-of-seville/15-june-2018/19-00
82,Germany,Berlin,Komische Oper Berlin,"June 16 19:00, June 24 19:00, June 28 20:00, June 30 19:30, July 06 19:30","Shostakovich, Dmitri (1906-1975)",The Nose,https://bachtrack.com/opera-listing/komische-oper-berlin/the-nose/16-june-2018/19-00
83,Germany,Berlin,Deutsche Oper,"June 01, 07, 09, 16 at 19:30","Bizet, Georges (1838-1875)",Carmen,https://bachtrack.com/opera-listing/deutsche-oper/carmen/01-june-2018/19-30
84,Switzerland,Zürich,Opernhaus,"June 10 13:00, June 16 19:15, June 19 19:00, June 22 20:00, June 26 19:00, June 29 20:00","Lehár, Franz (1870-1948)","The Land of Smiles (Das Land des Lächelns), operetta",https://bachtrack.com/opera-listing/opernhaus-1069/das-land-des-lachelns/10-june-2018/13-00
85,Germany,Munich,Nationaltheater,"June 16, 19, 22 at 19:00","Strauss, Richard (1864-1949)",Arabella,https://bachtrack.com/opera-listing/nationaltheater-1927/arabella/16-june-2018/19-00
86,Germany,Dresden,Semperoper,"2017 August 27 17:00, October 28, 30, November 04, 28, December 18, 2018 January 19, April 04, June, 07, 16 19:30 (at 19:00 unless shown)","Puccini, Giacomo (1858-1924)",La bohème,https://bachtrack.com/opera-listing/semperoper/la-boheme/27-august-2017/17-00
87,Germany,Duisburg,Theater Duisburg,"May 30, June 08, 16 at 19:30","Donizetti, Gaetano (1797-1848)",Maria Stuarda,https://bachtrack.com/opera-listing/theater-duisburg/maria-stuarda/30-may-2018/19-30
88,United States,Minneapolis,The Cowles Center for Dance and the Performing Arts: Goodale Theater,"June 16 19:30, June 17 14:00, June 19 19:30, June 21 19:30, June 23 19:30","Spears, Gregory (b. 1977)",Fellow Travelers,https://bachtrack.com/opera-listing/the-cowles-center-for-dance-and-the-performing-arts-goodale-theater/fellow-travelers/16-june-2018/19-30
89,Germany,Stuttgart,Staatsoper Stuttgart,"April 26 19:00, April 29 15:00, May 21 18:00, May 26 19:30, June 09 20:00, June 16 20:00, June 25 20:00","Dallapiccola, Luigi (1904-1975)",Il Prigioniero,https://bachtrack.com/opera-listing/staatsoper-stuttgart/der-gefangene-das-gehege/26-april-2018/19-00
90,Germany,Stuttgart,Staatsoper Stuttgart,"April 26 19:00, April 29 15:00, May 21 18:00, May 26 19:30, June 09 20:00, June 16 20:00, June 25 20:00","Rihm, Wolfgang (b. 1952)",Das Gehege,https://bachtrack.com/opera-listing/staatsoper-stuttgart/der-gefangene-das-gehege/26-april-2018/19-00
91,France,Strasbourg,Opéra National du Rhin,"June 16 20:00, June 18 20:00, June 20 20:00, June 22 20:00, June 24 17:00, June 26 20:00","Tchaikovsky, Pyotr Ilyich (1840-1893)",Eugene Onegin,https://bachtrack.com/opera-listing/opera-national-du-rhin/eugene-onegin/16-june-2018/20-00
92,Germany,Nuremberg,Staatstheater Nürnberg,"May 07 18:00, May 13 19:00, May 15 19:30, May 19 19:30, May 21 19:00, May 31 19:00, June 06 19:30, June 10 19:00, June 16 19:30, June 26 19:30, July 03 19:30, July 05 19:30, July 15 15:30","Rossini, Gioachino (1792-1868)",Il barbiere di Siviglia (The Barber of Seville),https://bachtrack.com/opera-listing/staatstheater-nurnberg/der-barbier-von-sevilla/07-may-2018/18-00
93,United Kingdom,High Wycombe,Garsington Opera,"June 16, 18, 21, 29, July 04, 07, 13, 15, 20, 22 at 18:30","Verdi, Giuseppe (1813-1901)",Falstaff,https://bachtrack.com/opera-listing/garsington-opera/falstaff/16-june-2018/18-30
94,United Kingdom,London,"Royal Opera House, Covent Garden","June 16, 20, 22, 25, 26, 27, 30, July 04, 11, 14 14:00, 19:30, 20 14:00, 19:30 (at 19:30 unless shown)","Puccini, Giacomo (1858-1924)",La bohème,https://bachtrack.com/opera-listing/royal-opera-house-covent-garden/la-boheme/16-june-2018/19-30
95,United Kingdom,Alresford,The Grange,"June 08, 16, 23, 28, July 06 at 17:30","Handel, George Frideric (1685-1759)",Agrippina,https://bachtrack.com/opera-listing/the-grange/agrippina/08-june-2018/17-30
96,France,Paris,Théâtre des Champs-Élysées,On Saturday 16 June 2018 at 20:00,"Rossini, Gioachino (1792-1868)",La Cenerentola (Cinderella),https://bachtrack.com/opera-listing/theatre-des-champs-elysees/la-cenerentola-cinderella/16-june-2018/20-00
