,work,date
12157,Parsifal,1950-03-21
12158,Madama Butterfly,1950-03-22
12159,Faust,1950-03-23
12160,Carmen,1950-03-24
12161,Khovanshchina,1950-03-24
12162,La Bohème,1950-03-25
12163,Aida,1950-03-25
12164,Manon Lescaut,1950-03-27
12165,Faust,1950-03-28
12166,Rigoletto,1950-03-29
12167,Die Walküre,1950-03-29
12168,Tosca,1950-03-30
12169,Simon Boccanegra,1950-03-31
12170,Der Rosenkavalier,1950-04-01
12171,Aida,1950-04-01
12172,Lohengrin,1950-04-02
12173,Aida,1950-04-04
12174,Tosca,1950-04-04
12175,Parsifal,1950-04-05
12176,La Traviata,1950-04-06
12177,Parsifal,1950-04-07
12178,Madama Butterfly,1950-04-08
12179,Rigoletto,1950-04-08
12180,Samson et Dalila,1950-04-10
12181,La Bohème,1950-04-11
12182,Faust,1950-04-12
12183,Lohengrin,1950-04-13
12184,Aida,1950-04-14
12185,Tosca,1950-04-14
12186,Carmen,1950-04-15
12187,Manon Lescaut,1950-04-15
12188,Lohengrin,1950-04-17
12189,Samson et Dalila,1950-04-18
12190,Aida,1950-04-19
12191,Die Meistersinger von Nürnberg,1950-04-20
12192,Tosca,1950-04-21
12193,Rigoletto,1950-04-22
12194,Samson et Dalila,1950-04-22
12195,Tosca,1950-04-24
12196,Lohengrin,1950-04-25
12197,Faust,1950-04-26
12198,Rigoletto,1950-04-26
12199,La Bohème,1950-04-27
12200,L'Elisir d'Amore,1950-04-28
12201,Faust,1950-04-29
12202,Tosca,1950-04-29
12203,Samson et Dalila,1950-04-30
12204,La Traviata,1950-05-01
12205,Lohengrin,1950-05-02
12206,Carmen,1950-05-03
12207,Faust,1950-05-04
12208,Die Meistersinger von Nürnberg,1950-05-05
12209,Aida,1950-05-06
12210,L'Elisir d'Amore,1950-05-06
12211,Carmen,1950-05-07
12212,Tosca,1950-05-08
12213,Carmen,1950-05-09
12214,La Traviata,1950-05-10
12215,Die Meistersinger von Nürnberg,1950-05-11
12216,Rigoletto,1950-05-12
12217,Aida,1950-05-13
12218,La Bohème,1950-05-13
12219,Faust,1950-05-15
12220,Faust,1950-05-15
12221,Don Carlo,1950-11-06
12222,Der Fliegende Holländer,1950-11-09
12223,Don Carlo,1950-11-11
12224,La Traviata,1950-11-11
12225,Der Fliegende Holländer,1950-11-13
12226,Don Carlo,1950-11-14
12227,La Traviata,1950-11-15
12228,Don Carlo,1950-11-16
12229,Don Giovanni,1950-11-17
12230,Manon Lescaut,1950-11-18
12231,Der Fliegende Holländer,1950-11-18
12232,La Traviata,1950-11-19
12233,Don Giovanni,1950-11-20
12234,La Traviata,1950-11-21
12235,Der Fliegende Holländer,1950-11-22
12236,Manon Lescaut,1950-11-23
12237,Don Carlo,1950-11-24
12238,Die Zauberflöte,1950-11-25
12239,Don Giovanni,1950-11-25
12240,Manon Lescaut,1950-11-27
12241,Don Carlo,1950-11-28
12242,Die Zauberflöte,1950-11-29
12243,Don Giovanni,1950-11-30
12244,Tristan und Isolde,1950-12-01
12245,La Traviata,1950-12-02
12246,Don Carlo,1950-12-02
12247,Don Carlo,1950-12-04
12248,Don Giovanni,1950-12-05
12249,Il Barbiere di Siviglia,1950-12-06
12250,La Traviata,1950-12-07
12251,Die Zauberflöte,1950-12-08
12252,Tristan und Isolde,1950-12-09
12253,La Traviata,1950-12-09
12254,Die Zauberflöte,1950-12-11
12255,Faust,1950-12-12
12256,Don Carlo,1950-12-13
12257,Der Fliegende Holländer,1950-12-14
12258,Manon Lescaut,1950-12-15
12259,Il Barbiere di Siviglia,1950-12-16
12260,Tristan und Isolde,1950-12-16
12261,La Traviata,1950-12-18
12262,Faust,1950-12-19
12263,Die Fledermaus,1950-12-20
12264,Die Zauberflöte,1950-12-21
12265,Il Barbiere di Siviglia,1950-12-22
12266,Faust,1950-12-23
12267,Don Giovanni,1950-12-23
12268,Don Carlo,1950-12-25
12269,La Traviata,1950-12-26
12270,Die Fledermaus,1950-12-27
12271,Il Trovatore,1950-12-28
12272,Faust,1950-12-29
12273,Der Fliegende Holländer,1950-12-30
12274,Il Barbiere di Siviglia,1950-12-30
12275,Die Fledermaus,1950-12-31
12276,Faust,1951-01-01
12277,Der Fliegende Holländer,1951-01-02
12278,Il Trovatore,1951-01-03
12279,Die Fledermaus,1951-01-04
12280,Der Rosenkavalier,1951-01-05
12281,Don Giovanni,1951-01-06
12282,Manon Lescaut,1951-01-06
12283,Il Barbiere di Siviglia,1951-01-08
12284,Der Rosenkavalier,1951-01-09
12285,Manon Lescaut,1951-01-10
12286,Der Rosenkavalier,1951-01-11
12287,Die Zauberflöte,1951-01-12
12288,Der Fliegende Holländer,1951-01-12
12289,Il Trovatore,1951-01-13
12290,Die Fledermaus,1951-01-13
12291,Faust,1951-01-14
12292,Die Fledermaus,1951-01-15
12293,Der Rosenkavalier,1951-01-16
12294,Cavalleria Rusticana,1951-01-17
12295,Il Barbiere di Siviglia,1951-01-18
12296,Cavalleria Rusticana,1951-01-19
12297,Die Fledermaus,1951-01-20
12298,Il Trovatore,1951-01-20
12299,Tristan und Isolde,1951-01-22
12300,Il Trovatore,1951-01-23
12301,Faust,1951-01-24
12302,Das Rheingold,1951-01-25
12303,Die Fledermaus,1951-01-25
12304,La Traviata,1951-01-26
12305,Das Rheingold,1951-01-27
12306,Il Trovatore,1951-01-27
12307,Cavalleria Rusticana,1951-01-29
12308,Il Barbiere di Siviglia,1951-01-30
12309,Der Rosenkavalier,1951-01-31
12310,Die Walküre,1951-02-01
12311,Die Fledermaus,1951-02-02
12312,Die Walküre,1951-02-03
12313,Il Barbiere di Siviglia,1951-02-03
12314,Cavalleria Rusticana,1951-02-04
12315,Der Rosenkavalier,1951-02-05
12316,Die Fledermaus,1951-02-06
12317,Siegfried,1951-02-07
12318,La Traviata,1951-02-07
12319,Il Trovatore,1951-02-08
12320,Cavalleria Rusticana,1951-02-09
12321,Siegfried,1951-02-10
12322,Die Zauberflöte,1951-02-10
12323,Il Trovatore,1951-02-12
12324,Die Fledermaus,1951-02-13
12325,Faust,1951-02-14
12326,Götterdämmerung,1951-02-15
12327,Il Barbiere di Siviglia,1951-02-15
12328,Il Trovatore,1951-02-16
12329,Götterdämmerung,1951-02-17
12330,La Traviata,1951-02-17
12331,Tristan und Isolde,1951-02-19
12332,Cavalleria Rusticana,1951-02-20
12333,Die Zauberflöte,1951-02-21
12334,Die Fledermaus,1951-02-22
12335,Die Zauberflöte,1951-02-23
12336,Don Carlo,1951-02-23
12337,Der Rosenkavalier,1951-02-24
12338,Il Barbiere di Siviglia,1951-02-24
12339,Die Fledermaus,1951-02-26
12340,Il Trovatore,1951-02-27
12341,Die Zauberflöte,1951-02-27
12342,Tristan und Isolde,1951-02-28
12343,Faust,1951-03-01
12344,La Traviata,1951-03-02
12345,Cavalleria Rusticana,1951-03-03
12346,Die Fledermaus,1951-03-03
12347,Il Barbiere di Siviglia,1951-03-05
12348,Fidelio,1951-03-06
12349,Cavalleria Rusticana,1951-03-07
12350,Tristan und Isolde,1951-03-08
12351,Il Trovatore,1951-03-09
12352,Die Fledermaus,1951-03-09
12353,Fidelio,1951-03-10
12354,La Bohème,1951-03-10
12355,Siegfried,1951-03-12
12356,Cavalleria Rusticana,1951-03-13
12357,Fidelio,1951-03-14
12358,Don Giovanni,1951-03-15
12359,Fidelio,1951-03-16
12360,La Bohème,1951-03-17
12361,Faust,1951-03-17
12362,Fidelio,1951-03-19
12363,Il Trovatore,1951-03-20
12364,Madama Butterfly,1951-03-20
12365,La Bohème,1951-03-21
12366,Cavalleria Rusticana,1951-03-22
12367,La Forza del Destino: Convent SceneVerdi Requiem Mass,1951-03-23
12368,La Forza del Destino: Convent SceneVerdi Requiem Mass,1951-03-24
12369,Die Fledermaus,1951-03-24
12370,Metropolitan Opera Jamboree,1951-03-24
12371,Tristan und Isolde,1951-03-26
12372,Faust,1951-03-27
12373,Die Fledermaus,1951-03-28
12374,Madama Butterfly,1951-03-29
12375,La Bohème,1951-03-30
12376,Die Fledermaus,1951-03-31
12377,La Traviata,1951-03-31
12378,La Bohème,1951-04-02
12379,Die Fledermaus,1951-04-03
12380,Die Fledermaus,1951-04-05
12381,Il Trovatore,1951-04-06
12382,La Bohème,1951-04-06
12383,Il Barbiere di Siviglia,1951-04-07
12384,Die Fledermaus,1951-04-07
12385,La Traviata,1951-04-09
12386,Die Zauberflöte,1951-04-10
12387,La Bohème,1951-04-11
12388,Il Barbiere di Siviglia,1951-04-11
12389,Die Fledermaus,1951-04-12
12390,Don Carlo,1951-04-13
12391,Madama Butterfly,1951-04-14
12392,Faust,1951-04-14
12393,Tristan und Isolde,1951-04-15
12394,Don Carlo,1951-04-16
12395,La Traviata,1951-04-17
12396,Die Fledermaus,1951-04-18
12397,Il Barbiere di Siviglia,1951-04-19
12398,Il Trovatore,1951-04-20
12399,Tristan und Isolde,1951-04-20
12400,Cavalleria Rusticana,1951-04-21
12401,Don Giovanni,1951-04-21
12402,Il Trovatore,1951-04-23
12403,Die Fledermaus,1951-04-24
12404,Cavalleria Rusticana,1951-04-25
12405,Il Barbiere di Siviglia,1951-04-25
12406,Faust,1951-04-26
12407,Die Fledermaus,1951-04-27
12408,Don Carlo,1951-04-28
12409,Madama Butterfly,1951-04-28
12410,Il Barbiere di Siviglia,1951-04-29
12411,Il Trovatore,1951-04-30
12412,Faust,1951-05-01
12413,La Traviata,1951-05-02
12414,Die Fledermaus,1951-05-03
12415,Die Fledermaus,1951-05-04
12416,Cavalleria Rusticana,1951-05-05
12417,Die Zauberflöte,1951-05-05
12418,Faust,1951-05-06
12419,Die Fledermaus,1951-05-07
12420,Don Carlo,1951-05-08
12421,Faust,1951-05-09
12422,Die Fledermaus,1951-05-10
12423,La Traviata,1951-05-11
12424,Die Fledermaus,1951-05-12
12425,La Bohème,1951-05-12
12426,Die Fledermaus,1951-05-14
12427,Aida,1951-11-13
12428,Rigoletto,1951-11-15
12429,Aida,1951-11-17
12430,Le Nozze di Figaro,1951-11-17
12431,Rigoletto,1951-11-19
12432,Aida,1951-11-20
12433,Le Nozze di Figaro,1951-11-21
12434,Aida,1951-11-22
12435,Rigoletto,1951-11-23
12436,La Bohème,1951-11-24
12437,La Traviata,1951-11-24
12438,Aida,1951-11-26
12439,Le Nozze di Figaro,1951-11-27
12440,Rigoletto,1951-11-28
12441,La Bohème,1951-11-29
12442,Die Fledermaus,1951-11-30
12443,La Traviata,1951-12-01
12444,Cavalleria Rusticana,1951-12-01
12445,Le Nozze di Figaro,1951-12-03
12446,Rigoletto,1951-12-04
12447,Cavalleria Rusticana,1951-12-05
12448,Die Fledermaus,1951-12-06
12449,Manon,1951-12-07
12450,Rigoletto,1951-12-08
12451,Aida,1951-12-08
12452,Die Fledermaus,1951-12-10
12453,La Traviata,1951-12-11
12454,Aida,1951-12-12
12455,Götterdämmerung,1951-12-13
12456,Cavalleria Rusticana,1951-12-14
12457,Manon,1951-12-15
12458,La Bohème,1951-12-15
12459,Rigoletto,1951-12-16
12460,Götterdämmerung,1951-12-17
12461,Die Fledermaus,1951-12-18
12462,Lucia di Lammermoor,1951-12-19
12463,La Traviata,1951-12-20
12464,Aida,1951-12-21
12465,Die Fledermaus,1951-12-22
12466,Rigoletto,1951-12-22
12467,La Bohème,1951-12-24
12468,Lucia di Lammermoor,1951-12-25
12469,Manon,1951-12-26
12470,Cavalleria Rusticana,1951-12-27
12471,Così Fan Tutte,1951-12-28
12472,Lucia di Lammermoor,1951-12-29
12473,Aida,1951-12-29
12474,Die Fledermaus,1951-12-31
12475,Manon,1952-01-01
12476,Così Fan Tutte,1952-01-02
12477,Lucia di Lammermoor,1952-01-03
12478,Le Nozze di Figaro,1952-01-04
12479,Götterdämmerung,1952-01-05
12480,La Bohème,1952-01-05
12481,Madama Butterfly,1952-01-06
12482,Cavalleria Rusticana,1952-01-07
12483,Die Fledermaus,1952-01-08
12484,Madama Butterfly,1952-01-09
12485,Gianni Schicchi,1952-01-10
12486,La Traviata,1952-01-11
12487,Così Fan Tutte,1952-01-12
12488,Aida,1952-01-12
12489,Madama Butterfly,1952-01-14
12490,Gianni Schicchi,1952-01-15
12491,Rigoletto,1952-01-16
12492,Così Fan Tutte,1952-01-17
12493,La Bohème,1952-01-18
12494,Gianni Schicchi,1952-01-19
12495,Lucia di Lammermoor,1952-01-19
12496,Così Fan Tutte,1952-01-21
12497,Götterdämmerung,1952-01-22
12498,La Traviata,1952-01-23
12499,Gianni Schicchi,1952-01-24
12500,Rigoletto,1952-01-25
12501,Cavalleria Rusticana,1952-01-26
12502,Manon,1952-01-26
12503,Gianni Schicchi,1952-01-28
12504,Aida,1952-01-29
12505,La Bohème,1952-01-30
12506,Carmen,1952-01-31
12507,Götterdämmerung,1952-02-01
12508,Madama Butterfly,1952-02-02
12509,Aida,1952-02-02
12510,Lucia di Lammermoor,1952-02-04
12511,Rigoletto,1952-02-05
12512,Gianni Schicchi,1952-02-06
12513,Carmen,1952-02-07
12514,Madama Butterfly,1952-02-08
12515,Otello,1952-02-09
12516,Così Fan Tutte,1952-02-09
12517,Rigoletto,1952-02-11
12518,Carmen,1952-02-12
12519,Die Fledermaus,1952-02-13
12520,La Bohème,1952-02-14
12521,Otello,1952-02-15
12522,Carmen,1952-02-16
12523,Madama Butterfly,1952-02-16
12524,Elektra,1952-02-18
12525,La Traviata,1952-02-19
12526,Carmen,1952-02-19
12527,Otello,1952-02-20
12528,Aida,1952-02-21
12529,Le Nozze di Figaro,1952-02-22
12530,Elektra,1952-02-23
12531,Il Trovatore,1952-02-23
12532,'21' At the Met,1952-02-24
12533,La Traviata,1952-02-25
12534,Cavalleria Rusticana,1952-02-26
12535,La Bohème,1952-02-26
12536,Aida,1952-02-27
12537,Manon,1952-02-28
12538,Il Trovatore,1952-02-29
12539,Le Nozze di Figaro,1952-03-01
12540,Carmen,1952-03-01
12541,Otello,1952-03-03
12542,Cavalleria Rusticana,1952-03-04
12543,Alceste,1952-03-04
12544,Carmen,1952-03-05
12545,Madama Butterfly,1952-03-06
12546,Elektra,1952-03-07
12547,Aida,1952-03-08
12548,Die Fledermaus,1952-03-08
12549,Alceste,1952-03-10
12550,Il Trovatore,1952-03-11
12551,Elektra,1952-03-12
12552,Otello,1952-03-13
12553,Cavalleria Rusticana,1952-03-14
12554,Lucia di Lammermoor,1952-03-14
12555,La Bohème,1952-03-15
12556,Die Meistersinger von Nürnberg,1952-03-15
12557,Carmen,1952-03-17
12558,Le Nozze di Figaro,1952-03-18
12559,Alceste,1952-03-19
12560,Elektra,1952-03-20
12561,Don Carlo,1952-03-21
12562,Die Meistersinger von Nürnberg,1952-03-22
12563,La Bohème,1952-03-22
12564,Don Carlo,1952-03-24
12565,Carmen,1952-03-25
12566,Il Trovatore,1952-03-26
12567,Die Meistersinger von Nürnberg,1952-03-27
12568,Carmen,1952-03-28
12569,Alceste,1952-03-29
12570,Madama Butterfly,1952-03-29
12571,Aida,1952-03-31
12572,Alceste,1952-04-01
12573,Die Meistersinger von Nürnberg,1952-04-02
12574,Il Trovatore,1952-04-03
12575,La Traviata,1952-04-04
12576,Parsifal,1952-04-04
12577,Don Carlo,1952-04-05
12578,Carmen,1952-04-05
12579,Manon,1952-04-07
12580,Parsifal,1952-04-08
12581,Don Carlo,1952-04-09
12582,Le Nozze di Figaro,1952-04-10
12583,Parsifal,1952-04-11
12584,Parsifal,1952-04-12
12585,La Traviata,1952-04-12
12586,Aida,1952-04-14
12587,Madama Butterfly,1952-04-15
12588,Rigoletto,1952-04-16
12589,Carmen,1952-04-17
12590,La Bohème,1952-04-18
12591,Gianni Schicchi,1952-04-18
12592,La Traviata,1952-04-19
12593,Le Nozze di Figaro,1952-04-19
12594,Aida,1952-04-21
12595,Gianni Schicchi,1952-04-22
12596,Carmen,1952-04-23
12597,Manon,1952-04-23
12598,Il Trovatore,1952-04-24
12599,Die Meistersinger von Nürnberg,1952-04-25
12600,Rigoletto,1952-04-26
12601,Cavalleria Rusticana,1952-04-26
12602,La Bohème,1952-04-27
12603,Aida,1952-04-28
12604,Madama Butterfly,1952-04-29
12605,Carmen,1952-04-29
12606,Aida,1952-04-30
12607,La Traviata,1952-05-01
12608,Carmen,1952-05-02
12609,La Bohème,1952-05-03
12610,Aida,1952-05-03
12611,Lucia di Lammermoor,1952-05-05
12612,Madama Butterfly,1952-05-06
12613,Carmen,1952-05-07
12614,Rigoletto,1952-05-08
12615,Aida,1952-05-09
12616,La Bohème,1952-05-10
12617,Così Fan Tutte,1952-05-10
12618,Carmen,1952-05-11
12619,Cavalleria Rusticana,1952-05-12
12620,Rigoletto,1952-05-13
12621,Aida,1952-05-14
12622,Carmen,1952-05-15
12623,Rigoletto,1952-05-16
12624,Carmen,1952-05-17
12625,Così Fan Tutte,1952-05-17
12626,Madama Butterfly,1952-05-18
12627,Aida,1952-05-19
12628,Così Fan Tutte,1952-05-20
12629,Carmen,1952-05-21
12630,Aida,1952-05-22
12631,Carmen,1952-05-23
12632,La Bohème,1952-05-24
12633,La Traviata,1952-05-24
12634,Aida,1952-05-26
12635,La Bohème,1952-05-27
12636,Carmen,1952-05-28
12637,Rigoletto,1952-05-29
12638,Aida,1952-05-30
12639,Carmen,1952-05-31
12640,La Traviata,1952-05-31
12641,La Forza del Destino,1952-11-10
12642,Tosca,1952-11-12
12643,Lohengrin,1952-11-15
12644,Rigoletto,1952-11-15
12645,Tosca,1952-11-17
12646,La Forza del Destino,1952-11-18
12647,Carmen,1952-11-19
12648,Lohengrin,1952-11-20
12649,La Forza del Destino,1952-11-21
12650,Rigoletto,1952-11-22
12651,Madama Butterfly,1952-11-22
12652,Lohengrin,1952-11-24
12653,Tosca,1952-11-25
12654,Don Giovanni,1952-11-26
12655,Madama Butterfly,1952-11-27
12656,Rigoletto,1952-11-28
12657,La Forza del Destino,1952-11-29
12658,Carmen,1952-11-29
12659,Madama Butterfly,1952-12-01
12660,Don Carlo,1952-12-02
12661,Rigoletto,1952-12-03
12662,La Forza del Destino,1952-12-04
12663,Lohengrin,1952-12-05
12664,Don Giovanni,1952-12-06
12665,Carmen,1952-12-06
12666,Die Meistersinger von Nürnberg,1952-12-08
12667,Tosca,1952-12-09
12668,La Forza del Destino,1952-12-10
12669,Carmen,1952-12-11
12670,Don Giovanni,1952-12-12
12671,Tosca,1952-12-13
12672,Don Carlo,1952-12-13
12673,Carmen,1952-12-15
12674,La Gioconda,1952-12-16
12675,Die Meistersinger von Nürnberg,1952-12-17
12676,Rigoletto,1952-12-18
12677,Madama Butterfly,1952-12-19
12678,Don Carlo,1952-12-20
12679,Tosca,1952-12-20
12680,Don Giovanni,1952-12-22
12681,Rigoletto,1952-12-23
12682,Madama Butterfly,1952-12-24
12683,La Gioconda,1952-12-25
12684,Tosca,1952-12-26
12685,La Bohème,1952-12-27
12686,Lohengrin,1952-12-27
12687,La Forza del Destino,1952-12-29
12688,Carmen,1952-12-30
12689,Die Fledermaus,1952-12-31
12690,La Bohème,1953-01-01
12691,Die Meistersinger von Nürnberg,1953-01-02
12692,La Gioconda,1953-01-03
12693,Tosca,1953-01-03
12694,Rigoletto,1953-01-05
12695,Madama Butterfly,1953-01-06
12696,La Bohème,1953-01-07
12697,Don Carlo,1953-01-08
12698,Aida,1953-01-09
12699,Die Meistersinger von Nürnberg,1953-01-10
12700,Die Fledermaus,1953-01-10
12701,La Bohème,1953-01-12
12702,Così Fan Tutte,1953-01-13
12703,Aida,1953-01-14
12704,Don Giovanni,1953-01-15
12705,La Gioconda,1953-01-16
12706,Madama Butterfly,1953-01-17
12707,Così Fan Tutte,1953-01-17
12708,Tosca,1953-01-19
12709,Carmen,1953-01-20
12710,Cavalleria Rusticana,1953-01-21
12711,Der Rosenkavalier,1953-01-22
12712,Aida,1953-01-23
12713,Così Fan Tutte,1953-01-23
12714,Aida,1953-01-24
12715,La Bohème,1953-01-24
12716,Der Rosenkavalier,1953-01-26
12717,Così Fan Tutte,1953-01-27
12718,La Gioconda,1953-01-28
12719,Così Fan Tutte,1953-01-29
12720,Carmen,1953-01-30
12721,Don Giovanni,1953-01-30
12722,Carmen,1953-01-31
12723,Rigoletto,1953-01-31
12724,Die Fledermaus,1953-02-01
12725,La Gioconda,1953-02-02
12726,Cavalleria Rusticana,1953-02-03
12727,Der Rosenkavalier,1953-02-04
12728,Aida,1953-02-05
12729,Carmen,1953-02-06
12730,Così Fan Tutte,1953-02-07
12731,Rigoletto,1953-02-07
12732,Aida,1953-02-09
12733,Die Fledermaus,1953-02-10
12734,Così Fan Tutte,1953-02-11
12735,Cavalleria Rusticana,1953-02-12
12736,La Bohème,1953-02-13
12737,The Rake's Progress,1953-02-14
12738,Tosca,1953-02-14
12739,Cavalleria Rusticana,1953-02-16
12740,Die Meistersinger von Nürnberg,1953-02-17
12741,Tosca,1953-02-18
12742,The Rake's Progress,1953-02-19
12743,La Forza del Destino,1953-02-20
12744,La Bohème,1953-02-21
12745,Der Rosenkavalier,1953-02-21
12746,La Bohème,1953-02-22
12747,Rigoletto,1953-02-22
12748,Tristan und Isolde,1953-02-23
12749,The Rake's Progress,1953-02-24
12750,La Bohème,1953-02-25
12751,Rigoletto,1953-02-26
12752,The Rake's Progress,1953-02-27
12753,Der Rosenkavalier,1953-02-28
12754,Aida,1953-02-28
12755,La Bohème,1953-03-02
12756,Samson et Dalila,1953-03-03
12757,The Rake's Progress,1953-03-04
12758,Madama Butterfly,1953-03-05
12759,Boris Godunov,1953-03-06
12760,Rigoletto,1953-03-07
12761,La Forza del Destino,1953-03-07
12762,Boris Godunov,1953-03-09
12763,La Bohème,1953-03-10
12764,Tristan und Isolde,1953-03-11
12765,Der Rosenkavalier,1953-03-12
12766,Aida,1953-03-13
12767,La Traviata,1953-03-13
12768,Samson et Dalila,1953-03-14
12769,Don Giovanni,1953-03-14
12770,The Rake's Progress,1953-03-16
12771,Boris Godunov,1953-03-17
12772,La Traviata,1953-03-18
12773,Samson et Dalila,1953-03-19
12774,Der Rosenkavalier,1953-03-20
12775,Tristan und Isolde,1953-03-21
12776,Boris Godunov,1953-03-21
12777,Parsifal,1953-03-23
12778,La Forza del Destino,1953-03-24
12779,La Bohème,1953-03-25
12780,Tosca,1953-03-26
12781,Carmen,1953-03-27
12782,Tristan und Isolde,1953-03-27
12783,Boris Godunov,1953-03-28
12784,La Traviata,1953-03-28
12785,Samson et Dalila,1953-03-30
12786,Aida,1953-03-31
12787,Parsifal,1953-04-01
12788,Boris Godunov,1953-04-02
12789,Parsifal,1953-04-03
12790,Cavalleria Rusticana,1953-04-04
12791,La Bohème,1953-04-04
12792,Die Fledermaus,1953-04-06
12793,Metropolitan Opera Jamboree,1953-04-06
12794,Die Meistersinger von Nürnberg,1953-04-07
12795,Samson et Dalila,1953-04-08
12796,La Traviata,1953-04-09
12797,Carmen,1953-04-10
12798,Cavalleria Rusticana,1953-04-10
12799,Lohengrin,1953-04-11
12800,Carmen,1953-04-11
12801,Rigoletto,1953-04-13
12802,La Gioconda,1953-04-14
12803,Carmen,1953-04-15
12804,Boris Godunov,1953-04-16
12805,Tosca,1953-04-17
12806,La Forza del Destino,1953-04-17
12807,Der Rosenkavalier,1953-04-18
12808,Don Giovanni,1953-04-18
12809,La Forza del Destino,1953-04-20
12810,Carmen,1953-04-21
12811,Aida,1953-04-22
12812,Tosca,1953-04-22
12813,Der Rosenkavalier,1953-04-23
12814,Così Fan Tutte,1953-04-24
12815,Madama Butterfly,1953-04-25
12816,Rigoletto,1953-04-25
12817,Lohengrin,1953-04-26
12818,La Bohème,1953-04-27
12819,Rigoletto,1953-04-28
12820,Cavalleria Rusticana,1953-04-28
12821,Samson et Dalila,1953-04-29
12822,Rigoletto,1953-04-30
12823,Samson et Dalila,1953-05-01
12824,Così Fan Tutte,1953-05-02
12825,Tosca,1953-05-02
12826,Carmen,1953-05-04
12827,Aida,1953-05-05
12828,Samson et Dalila,1953-05-06
12829,Aida,1953-05-07
12830,Don Giovanni,1953-05-08
12831,Rigoletto,1953-05-09
12832,Der Rosenkavalier,1953-05-09
12833,Tristan und Isolde,1953-05-10
12834,Carmen,1953-05-11
12835,Tosca,1953-05-12
12836,La Bohème,1953-05-13
12837,Aida,1953-05-14
12838,Der Rosenkavalier,1953-05-15
12839,La Bohème,1953-05-16
12840,Samson et Dalila,1953-05-16
12841,Don Giovanni,1953-05-17
12842,Rigoletto,1953-05-18
12843,Tristan und Isolde,1953-05-19
12844,La Bohème,1953-05-20
12845,Tosca,1953-05-21
12846,Rigoletto,1953-05-22
12847,La Bohème,1953-05-23
12848,Samson et Dalila,1953-05-23
12849,Tosca,1953-05-24
12850,La Forza del Destino,1953-05-25
12851,Carmen,1953-05-26
12852,Tosca,1953-05-27
12853,Lohengrin,1953-05-28
12854,Rigoletto,1953-05-29
12855,Samson et Dalila,1953-05-30
12856,Ed Sullivan's Toast to the Met,1953-11-08
12857,Faust,1953-11-16
12858,Le Nozze di Figaro,1953-11-20
12859,La Forza del Destino,1953-11-21
12860,La Bohème,1953-11-21
12861,Le Nozze di Figaro,1953-11-23
12862,Faust,1953-11-24
12863,La Bohème,1953-11-25
12864,La Forza del Destino,1953-11-26
12865,Pelléas et Mélisande,1953-11-27
12866,Rigoletto,1953-11-28
12867,Faust,1953-11-28
12868,La Bohème,1953-11-30
12869,Pelléas et Mélisande,1953-12-01
12870,Il Trovatore,1953-12-02
12871,Le Nozze di Figaro,1953-12-03
12872,La Forza del Destino,1953-12-04
12873,Faust,1953-12-05
12874,La Traviata,1953-12-05
12875,Rigoletto,1953-12-06
12876,Pelléas et Mélisande,1953-12-07
12877,Il Trovatore,1953-12-08
12878,Faust,1953-12-09
12879,Don Giovanni,1953-12-10
12880,La Traviata,1953-12-11
12881,Rigoletto,1953-12-12
12882,Carmen,1953-12-12
12883,La Forza del Destino,1953-12-14
12884,Faust,1953-12-15
12885,Le Nozze di Figaro,1953-12-16
12886,Faust,1953-12-17
12887,Carmen,1953-12-18
12888,La Bohème,1953-12-19
12889,Don Giovanni,1953-12-19
12890,Rigoletto,1953-12-21
12891,La Traviata,1953-12-22
12892,Pelléas et Mélisande,1953-12-23
12893,La Bohème,1953-12-24
12894,Il Trovatore,1953-12-25
12895,Le Nozze di Figaro,1953-12-26
12896,Tannhäuser,1953-12-26
12897,Faust,1953-12-28
12898,Tannhäuser,1953-12-29
12899,Carmen,1953-12-30
12900,Die Fledermaus,1953-12-31
12901,Don Giovanni,1954-01-01
12902,Pelléas et Mélisande,1954-01-02
12903,La Forza del Destino,1954-01-02
12904,La Traviata,1954-01-04
12905,La Bohème,1954-01-05
12906,Don Giovanni,1954-01-06
12907,Il Trovatore,1954-01-07
12908,Faust,1954-01-08
12909,Tannhäuser,1954-01-09
12910,Le Nozze di Figaro,1954-01-09
12911,Carmen,1954-01-10
12912,Boris Godunov,1954-01-11
12913,Pelléas et Mélisande,1954-01-12
12914,Lucia di Lammermoor,1954-01-13
12915,Tannhäuser,1954-01-14
12916,La Bohème,1954-01-15
12917,La Bohème,1954-01-15
12918,Il Trovatore,1954-01-16
12919,Così Fan Tutte,1954-01-16
12920,Carmen,1954-01-18
12921,Don Giovanni,1954-01-19
12922,Rigoletto,1954-01-20
12923,Così Fan Tutte,1954-01-21
12924,Lucia di Lammermoor,1954-01-22
12925,Die Fledermaus,1954-01-23
12926,Boris Godunov,1954-01-23
12927,Don Giovanni,1954-01-25
12928,The Rake's Progress,1954-01-26
12929,La Traviata,1954-01-27
12930,Le Nozze di Figaro,1954-01-28
12931,Boris Godunov,1954-01-29
12932,Lucia di Lammermoor,1954-01-30
12933,Rigoletto,1954-01-30
12934,La Bohème,1954-02-01
12935,La Forza del Destino,1954-02-02
12936,Così Fan Tutte,1954-02-03
12937,Die Walküre,1954-02-04
12938,The Rake's Progress,1954-02-05
